index,backbone,protocol,method,rank,comparison,n_pairs,expected_n_pairs,mean_paired_bad_diff,sem,ci_percentile_lower_025,ci_percentile_upper_975,bootstrap_mean,b_bootstrap_samples,bootstrap_seed,bootstrap_unit,direction
1,cmpnn,scaffold,lora,2,rank-vs-r8,18,18,-0.01241349999999996,0.018028399804696303,-0.03145786944444439,0.008259534722222274,-0.012465745938888849,10000,42,dataset_seed_pair_stratified_by_dataset,positive = rank variant worse than r=8 baseline in bad-space
2,cmpnn,scaffold,lora,32,rank-vs-r8,18,18,0.0023313333333333766,0.010274144629249918,-0.015390616666666619,0.019643183333333352,0.002404705838888932,10000,42,dataset_seed_pair_stratified_by_dataset,positive = rank variant worse than r=8 baseline in bad-space
3,cmpnn,scaffold,dora,2,rank-vs-r8,18,18,-0.0072992222222222165,0.014308758727344467,-0.02163789444444442,0.004545593055555527,-0.007262895044444439,10000,42,dataset_seed_pair_stratified_by_dataset,positive = rank variant worse than r=8 baseline in bad-space
4,cmpnn,scaffold,dora,32,rank-vs-r8,18,18,0.005676555555555549,0.016291081773207133,-0.029313143055555543,0.03170041388888888,0.00581883216666666,10000,42,dataset_seed_pair_stratified_by_dataset,positive = rank variant worse than r=8 baseline in bad-space
5,chemberta2,scaffold,lora,2,rank-vs-r8,18,18,0.009289537049903993,0.02955738448709246,-0.048598662210131656,0.06775215283467499,0.009546562614198742,10000,42,dataset_seed_pair_stratified_by_dataset,positive = rank variant worse than r=8 baseline in bad-space
6,chemberta2,scaffold,lora,32,rank-vs-r8,18,18,-0.02606062708885831,0.022141195865340767,-0.05221435393195812,0.007806286594316444,-0.025948602200183895,10000,42,dataset_seed_pair_stratified_by_dataset,positive = rank variant worse than r=8 baseline in bad-space
7,chemberta2,scaffold,dora,2,rank-vs-r8,18,18,0.000343594872402002,0.029537342123914036,-0.06137532046328989,0.0558965323988503,0.0006024919934567284,10000,42,dataset_seed_pair_stratified_by_dataset,positive = rank variant worse than r=8 baseline in bad-space
8,chemberta2,scaffold,dora,32,rank-vs-r8,18,18,-0.0305423167839526,0.020679199013161113,-0.054422309322886275,0.004807568945323357,-0.030412067328400003,10000,42,dataset_seed_pair_stratified_by_dataset,positive = rank variant worse than r=8 baseline in bad-space
9,molformer_c3,scaffold,lora,2,rank-vs-r8,18,18,0.009999530706293478,0.017768275453512453,-0.01874406069315233,0.0365154770906895,0.010199203327809934,10000,42,dataset_seed_pair_stratified_by_dataset,positive = rank variant worse than r=8 baseline in bad-space
10,molformer_c3,scaffold,lora,32,rank-vs-r8,18,18,-0.01438679862646479,0.01663219677304809,-0.03256039515997863,0.005765615157385293,-0.014195483081964949,10000,42,dataset_seed_pair_stratified_by_dataset,positive = rank variant worse than r=8 baseline in bad-space
11,molformer_c3,scaffold,dora,2,rank-vs-r8,18,18,-0.007386784954710481,0.027429838034753518,-0.051440687960606656,0.03933935178050105,-0.007474945357176305,10000,42,dataset_seed_pair_stratified_by_dataset,positive = rank variant worse than r=8 baseline in bad-space
12,molformer_c3,scaffold,dora,32,rank-vs-r8,18,18,-0.032539719860548814,0.032467963204962584,-0.06926998746938393,0.004408463720050519,-0.032482083264730864,10000,42,dataset_seed_pair_stratified_by_dataset,positive = rank variant worse than r=8 baseline in bad-space
