backbone,dataset,method,rank,seed,protocol,metric_type,task_type,n5_metric,r8_baseline_metric,paired_bad_diff_vs_r8,direction,n5_checkpoint,r8_checkpoint
cmpnn,freesolv,lora,2,0,scaffold,rmse,regression,1.91896,2.16195,-0.24299000000000004,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_freesolv_lora_r2_cmpnn_scaffold_seed0/run_0/model_0/model.pt,dumped/baseline_freesolv_lora_scaffold_seed0/run_0/model_0/model.pt
cmpnn,freesolv,lora,2,1,scaffold,rmse,regression,2.512376,2.673929,-0.1615529999999996,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_freesolv_lora_r2_cmpnn_scaffold_seed1/run_0/model_0/model.pt,dumped/baseline_freesolv_lora_scaffold_seed1/run_0/model_0/model.pt
cmpnn,freesolv,lora,2,2,scaffold,rmse,regression,1.473944,1.490457,-0.016513,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_freesolv_lora_r2_cmpnn_scaffold_seed2/run_0/model_0/model.pt,dumped/baseline_freesolv_lora_scaffold_seed2/run_0/model_0/model.pt
cmpnn,freesolv,lora,32,0,scaffold,rmse,regression,2.271921,2.16195,0.10997099999999982,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_freesolv_lora_r32_cmpnn_scaffold_seed0/run_0/model_0/model.pt,dumped/baseline_freesolv_lora_scaffold_seed0/run_0/model_0/model.pt
cmpnn,freesolv,lora,32,1,scaffold,rmse,regression,2.722077,2.673929,0.0481480000000003,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_freesolv_lora_r32_cmpnn_scaffold_seed1/run_0/model_0/model.pt,dumped/baseline_freesolv_lora_scaffold_seed1/run_0/model_0/model.pt
cmpnn,freesolv,lora,32,2,scaffold,rmse,regression,1.417299,1.490457,-0.07315799999999983,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_freesolv_lora_r32_cmpnn_scaffold_seed2/run_0/model_0/model.pt,dumped/baseline_freesolv_lora_scaffold_seed2/run_0/model_0/model.pt
cmpnn,freesolv,dora,2,0,scaffold,rmse,regression,2.04811,2.096095,-0.047985000000000166,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_freesolv_dora_r2_cmpnn_scaffold_seed0/run_0/model_0/model.pt,dumped/baseline_freesolv_dora_scaffold_seed0/run_0/model_0/model.pt
cmpnn,freesolv,dora,2,1,scaffold,rmse,regression,2.501107,2.709365,-0.20825799999999983,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_freesolv_dora_r2_cmpnn_scaffold_seed1/run_0/model_0/model.pt,dumped/baseline_freesolv_dora_scaffold_seed1/run_0/model_0/model.pt
cmpnn,freesolv,dora,2,2,scaffold,rmse,regression,1.477776,1.570725,-0.09294899999999995,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_freesolv_dora_r2_cmpnn_scaffold_seed2/run_0/model_0/model.pt,dumped/baseline_freesolv_dora_scaffold_seed2/run_0/model_0/model.pt
cmpnn,freesolv,dora,32,0,scaffold,rmse,regression,2.275042,2.096095,0.17894699999999997,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_freesolv_dora_r32_cmpnn_scaffold_seed0/run_0/model_0/model.pt,dumped/baseline_freesolv_dora_scaffold_seed0/run_0/model_0/model.pt
cmpnn,freesolv,dora,32,1,scaffold,rmse,regression,2.788671,2.709365,0.07930599999999988,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_freesolv_dora_r32_cmpnn_scaffold_seed1/run_0/model_0/model.pt,dumped/baseline_freesolv_dora_scaffold_seed1/run_0/model_0/model.pt
cmpnn,freesolv,dora,32,2,scaffold,rmse,regression,1.369966,1.570725,-0.2007589999999999,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_freesolv_dora_r32_cmpnn_scaffold_seed2/run_0/model_0/model.pt,dumped/baseline_freesolv_dora_scaffold_seed2/run_0/model_0/model.pt
cmpnn,esol,lora,2,0,scaffold,rmse,regression,0.776818,0.741628,0.035190000000000055,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_esol_lora_r2_cmpnn_scaffold_seed0/run_0/model_0/model.pt,dumped/baseline_esol_lora_scaffold_seed0/run_0/model_0/model.pt
cmpnn,esol,lora,2,1,scaffold,rmse,regression,0.823625,0.759042,0.06458300000000006,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_esol_lora_r2_cmpnn_scaffold_seed1/run_0/model_0/model.pt,dumped/baseline_esol_lora_scaffold_seed1/run_0/model_0/model.pt
cmpnn,esol,lora,2,2,scaffold,rmse,regression,1.03452,1.002986,0.03153400000000017,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_esol_lora_r2_cmpnn_scaffold_seed2/run_0/model_0/model.pt,dumped/baseline_esol_lora_scaffold_seed2/run_0/model_0/model.pt
cmpnn,esol,lora,32,0,scaffold,rmse,regression,0.740292,0.741628,-0.0013360000000000039,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_esol_lora_r32_cmpnn_scaffold_seed0/run_0/model_0/model.pt,dumped/baseline_esol_lora_scaffold_seed0/run_0/model_0/model.pt
cmpnn,esol,lora,32,1,scaffold,rmse,regression,0.803365,0.759042,0.044323,positive = rank variant worse than r=8 baseline in bad-space,dumped/n6_rank_boundary_esol_lora_r32_cmpnn_scaffold_seed1/run_0/model_0/model.pt,dumped/baseline_esol_lora_scaffold_seed1/run_0/model_0/model.pt
