backbone,dataset,method,lora_alpha,seed,protocol,metric_type,task_type,n7_metric,alpha16_baseline_metric,paired_bad_diff_vs_alpha16,direction,n7_checkpoint,alpha16_baseline_checkpoint
cmpnn,freesolv,lora,8,0,scaffold,rmse,regression,2.335345,2.16195,0.17339499999999974,positive = alpha variant worse than alpha=16 baseline in bad-space,dumped/n7_alpha_sensitivity_freesolv_lora_alpha8_cmpnn_scaffold_seed0/run_0/model_0/model.pt,dumped/baseline_freesolv_lora_scaffold_seed0/run_0/model_0/model.pt
cmpnn,freesolv,lora,8,1,scaffold,rmse,regression,2.833255,2.673929,0.15932600000000008,positive = alpha variant worse than alpha=16 baseline in bad-space,dumped/n7_alpha_sensitivity_freesolv_lora_alpha8_cmpnn_scaffold_seed1/run_0/model_0/model.pt,dumped/baseline_freesolv_lora_scaffold_seed1/run_0/model_0/model.pt
cmpnn,freesolv,lora,8,2,scaffold,rmse,regression,1.501944,1.490457,0.011487000000000025,positive = alpha variant worse than alpha=16 baseline in bad-space,dumped/n7_alpha_sensitivity_freesolv_lora_alpha8_cmpnn_scaffold_seed2/run_0/model_0/model.pt,dumped/baseline_freesolv_lora_scaffold_seed2/run_0/model_0/model.pt
cmpnn,freesolv,lora,32,0,scaffold,rmse,regression,2.052444,2.16195,-0.1095060000000001,positive = alpha variant worse than alpha=16 baseline in bad-space,dumped/n7_alpha_sensitivity_freesolv_lora_alpha32_cmpnn_scaffold_seed0/run_0/model_0/model.pt,dumped/baseline_freesolv_lora_scaffold_seed0/run_0/model_0/model.pt
cmpnn,freesolv,lora,32,1,scaffold,rmse,regression,2.637482,2.673929,-0.036446999999999896,positive = alpha variant worse than alpha=16 baseline in bad-space,dumped/n7_alpha_sensitivity_freesolv_lora_alpha32_cmpnn_scaffold_seed1/run_0/model_0/model.pt,dumped/baseline_freesolv_lora_scaffold_seed1/run_0/model_0/model.pt
cmpnn,freesolv,lora,32,2,scaffold,rmse,regression,1.515283,1.490457,0.024826000000000015,positive = alpha variant worse than alpha=16 baseline in bad-space,dumped/n7_alpha_sensitivity_freesolv_lora_alpha32_cmpnn_scaffold_seed2/run_0/model_0/model.pt,dumped/baseline_freesolv_lora_scaffold_seed2/run_0/model_0/model.pt
cmpnn,freesolv,dora,8,0,scaffold,rmse,regression,2.364236,2.096095,0.26814099999999996,positive = alpha variant worse than alpha=16 baseline in bad-space,dumped/n7_alpha_sensitivity_freesolv_dora_alpha8_cmpnn_scaffold_seed0/run_0/model_0/model.pt,dumped/baseline_freesolv_dora_scaffold_seed0/run_0/model_0/model.pt
cmpnn,freesolv,dora,8,1,scaffold,rmse,regression,2.761528,2.709365,0.05216300000000018,positive = alpha variant worse than alpha=16 baseline in bad-space,dumped/n7_alpha_sensitivity_freesolv_dora_alpha8_cmpnn_scaffold_seed1/run_0/model_0/model.pt,dumped/baseline_freesolv_dora_scaffold_seed1/run_0/model_0/model.pt
cmpnn,freesolv,dora,8,2,scaffold,rmse,regression,1.567033,1.570725,-0.0036920000000000286,positive = alpha variant worse than alpha=16 baseline in bad-space,dumped/n7_alpha_sensitivity_freesolv_dora_alpha8_cmpnn_scaffold_seed2/run_0/model_0/model.pt,dumped/baseline_freesolv_dora_scaffold_seed2/run_0/model_0/model.pt
cmpnn,freesolv,dora,32,0,scaffold,rmse,regression,2.043531,2.096095,-0.05256399999999983,positive = alpha variant worse than alpha=16 baseline in bad-space,dumped/n7_alpha_sensitivity_freesolv_dora_alpha32_cmpnn_scaffold_seed0/run_0/model_0/model.pt,dumped/baseline_freesolv_dora_scaffold_seed0/run_0/model_0/model.pt
