index,backbone,protocol,method,lora_alpha,comparison,n_pairs,expected_n_pairs,mean_paired_bad_diff,sem,ci_percentile_lower_025,ci_percentile_upper_975,bootstrap_mean,b_bootstrap_samples,bootstrap_seed,bootstrap_unit,direction
1,cmpnn,scaffold,lora,8,alpha-vs-alpha16,18,18,0.01343266666666668,0.013824405822071817,-0.0027029097222221825,0.027757593055555554,0.01352333402777779,10000,42,dataset_seed_pair_stratified_by_dataset,positive = alpha variant worse than alpha=16 baseline in bad-space
2,cmpnn,scaffold,lora,32,alpha-vs-alpha16,18,18,-0.014998166666666658,0.007823214962407671,-0.02834165555555555,-0.001377927777777757,-0.015042692888888879,10000,42,dataset_seed_pair_stratified_by_dataset,positive = alpha variant worse than alpha=16 baseline in bad-space
3,cmpnn,scaffold,dora,8,alpha-vs-alpha16,18,18,0.017369277777777796,0.015557066914610134,-0.0015442305555555516,0.042863676388888876,0.017523673372222243,10000,42,dataset_seed_pair_stratified_by_dataset,positive = alpha variant worse than alpha=16 baseline in bad-space
4,cmpnn,scaffold,dora,32,alpha-vs-alpha16,18,18,-0.021496944444444405,0.008923791697366554,-0.030927844444444404,-0.012847454166666624,-0.021458617488888852,10000,42,dataset_seed_pair_stratified_by_dataset,positive = alpha variant worse than alpha=16 baseline in bad-space
5,chemberta2,scaffold,lora,8,alpha-vs-alpha16,18,18,-0.004754235790100724,0.025379436633880665,-0.06018395970027179,0.03400746767949351,-0.004620815311465455,10000,42,dataset_seed_pair_stratified_by_dataset,positive = alpha variant worse than alpha=16 baseline in bad-space
6,chemberta2,scaffold,lora,32,alpha-vs-alpha16,18,18,-0.006375367659093594,0.025329067898630413,-0.052359277281096545,0.030636034533872966,-0.006306141741259805,10000,42,dataset_seed_pair_stratified_by_dataset,positive = alpha variant worse than alpha=16 baseline in bad-space
7,chemberta2,scaffold,dora,8,alpha-vs-alpha16,18,18,-0.009936125216207863,0.025700812415310095,-0.06663271674427458,0.027909237729164177,-0.009772009503720343,10000,42,dataset_seed_pair_stratified_by_dataset,positive = alpha variant worse than alpha=16 baseline in bad-space
8,chemberta2,scaffold,dora,32,alpha-vs-alpha16,18,18,-0.013294974921726314,0.02368430989044592,-0.062327055185774936,0.020017072467527243,-0.013151260911054374,10000,42,dataset_seed_pair_stratified_by_dataset,positive = alpha variant worse than alpha=16 baseline in bad-space
9,molformer_c3,scaffold,lora,8,alpha-vs-alpha16,18,18,0.0027873150471370103,0.018663079942967037,-0.02688795227750265,0.03120210104975474,0.00299264094114155,10000,42,dataset_seed_pair_stratified_by_dataset,positive = alpha variant worse than alpha=16 baseline in bad-space
10,molformer_c3,scaffold,lora,32,alpha-vs-alpha16,18,18,-0.0010634407649754614,0.01607003341090441,-0.02937691298386558,0.028819552295209497,-0.0008748639505549406,10000,42,dataset_seed_pair_stratified_by_dataset,positive = alpha variant worse than alpha=16 baseline in bad-space
11,molformer_c3,scaffold,dora,8,alpha-vs-alpha16,18,18,-0.0046870117922077625,0.01868550349894715,-0.04073169134731182,0.022000639410531004,-0.004805440457472295,10000,42,dataset_seed_pair_stratified_by_dataset,positive = alpha variant worse than alpha=16 baseline in bad-space
12,molformer_c3,scaffold,dora,32,alpha-vs-alpha16,18,18,-0.01732879061048674,0.008792775320755876,-0.031228780322728224,-0.003931180768657706,-0.017228777834019354,10000,42,dataset_seed_pair_stratified_by_dataset,positive = alpha variant worse than alpha=16 baseline in bad-space
