dataset,backbone,method,protocol,seed,n_test,ECE_10bin,BrierScore,status
bace,cmpnn,lora,scaffold,0,152,0.1323105149174923,0.17015184894653454,PASS
bace,cmpnn,lora,scaffold,1,152,0.1113241989278451,0.12511240660307996,PASS
bace,cmpnn,lora,scaffold,2,152,0.14039390514938674,0.17659355278288624,PASS
bace,cmpnn,lora,random,0,152,0.07500464798433196,0.11258318779358739,PASS
bace,cmpnn,lora,random,1,152,0.10447141324950707,0.154479656846853,PASS
bace,cmpnn,lora,random,2,152,0.11349632277051566,0.16796748899578334,PASS
bace,cmpnn,dora,scaffold,0,152,0.13825609311081316,0.17291405141822858,PASS
bace,cmpnn,dora,scaffold,1,152,0.10070043468355928,0.12468157689584619,PASS
bace,cmpnn,dora,scaffold,2,152,0.14275093392145782,0.17137832854815324,PASS
bace,cmpnn,dora,random,0,152,0.06760511757987855,0.11219359289759409,PASS
bace,cmpnn,dora,random,1,152,0.11292720866323505,0.15747358358788255,PASS
bace,cmpnn,dora,random,2,152,0.11472448348758377,0.14969012409891547,PASS
bace,chemberta2,lora,scaffold,0,152,0.08158011656058461,0.17584238678053596,PASS
bace,chemberta2,lora,scaffold,1,152,0.07289233328897114,0.14977744383577205,PASS
bace,chemberta2,lora,scaffold,2,152,0.09289133411489037,0.18422749897866172,PASS
bace,chemberta2,lora,random,0,152,0.07556028305062729,0.1241924689221479,PASS
bace,chemberta2,lora,random,1,152,0.10319956018908047,0.1568807733126851,PASS
bace,chemberta2,lora,random,2,152,0.1534336661111171,0.20287674302728315,PASS
bace,chemberta2,dora,scaffold,0,152,0.08229808281420876,0.17494888668215616,PASS
bace,chemberta2,dora,scaffold,1,152,0.06455939278423196,0.14906743673759976,PASS
bace,chemberta2,dora,scaffold,2,152,0.08216162202389615,0.18388558515282102,PASS
bace,chemberta2,dora,random,0,152,0.06655696495191045,0.12326187569322886,PASS
bace,chemberta2,dora,random,1,152,0.09691469302082337,0.15645479495183262,PASS
bace,chemberta2,dora,random,2,152,0.15214322631149305,0.2032527758240769,PASS
bace,molformer_c3,lora,scaffold,0,152,0.12707587684060756,0.18849778869896347,PASS
bace,molformer_c3,lora,scaffold,1,152,0.06391233516306352,0.1293269445683853,PASS
bace,molformer_c3,lora,scaffold,2,152,0.08974282586438534,0.17892312757536613,PASS
bace,molformer_c3,lora,random,0,152,0.05927568408629956,0.12202889452313564,PASS
bace,molformer_c3,lora,random,1,152,0.05461878193646524,0.13983598483922266,PASS
bace,molformer_c3,lora,random,2,152,0.11606884463138781,0.18522088143946963,PASS
bace,molformer_c3,dora,scaffold,0,152,0.17008796658542213,0.20431292083523825,PASS
bace,molformer_c3,dora,scaffold,1,152,0.055282270257042604,0.13348962204986903,PASS
bace,molformer_c3,dora,scaffold,2,152,0.13917122258594883,0.18785734834579076,PASS
bace,molformer_c3,dora,random,0,152,0.06689544568239637,0.11008744847644711,PASS
bace,molformer_c3,dora,random,1,152,0.09189560903790774,0.16307393796967198,PASS
bace,molformer_c3,dora,random,2,152,0.12138053425434538,0.1718694436051702,PASS
bbbp,cmpnn,lora,scaffold,0,205,0.05844617529726786,0.06163114994685513,PASS
