backbone,method,protocol,n_runs,wall_clock_mean_sec,wall_clock_std_sec,peak_vram_mean_mib,peak_vram_max_mib
chemberta2,,,2,10.482834577560425,1.2375306016675465,3317.0,4292.0
chemberta2,dora,,18,27.592922661039566,16.167180888979797,2931.9444444444443,4033.0
chemberta2,dora,random,36,26.712407953209347,16.05062070651719,2895.722222222222,4450.0
chemberta2,dora,scaffold,127,20.61699463063338,12.078953340678636,3851.834645669291,7216.0
chemberta2,fullft,random,73,33.02831951886007,16.893106609818478,10037.232876712329,11290.0
chemberta2,fullft,scaffold,72,34.15996170043945,18.666244964210588,10789.5,13173.0
chemberta2,head,random,18,22.94727822144826,16.689705403198776,1988.888888888889,2612.0
chemberta2,lora,,18,24.338730573654175,13.688213643253462,2569.8888888888887,3354.0
chemberta2,lora,random,36,23.703403029176926,14.121647334794124,2534.1111111111113,3764.0
chemberta2,lora,scaffold,126,18.044719168118068,10.270921520882766,3467.5793650793653,5825.0
cmpnn,dora,,18,,,,
cmpnn,dora,scaffold,54,124.26562589627726,86.77903215082756,3482.537037037037,5567.0
cmpnn,fullft,random,36,,,,
cmpnn,fullft,scaffold,35,,,,
cmpnn,lora,,18,,,,
cmpnn,lora,scaffold,54,122.45613475640614,83.49314892604993,3483.3518518518517,5557.0
molformer_c3,,,2,13.751991271972656,0.44848292913048293,5590.0,7634.0
molformer_c3,dora,,18,571.4531881544325,1475.9983409296315,8921.888888888889,16051.0
molformer_c3,dora,random,36,430.14864707655374,1181.0452962893587,8934.444444444445,16051.0
molformer_c3,dora,scaffold,127,67.90308880618238,48.65266797775729,9787.874015748032,20350.0
molformer_c3,fullft,random,73,87.01259094721651,55.550893473499116,15946.602739726028,25020.0
molformer_c3,fullft,scaffold,72,81.6073090367847,49.483583542367946,9461.638888888889,16310.0
molformer_c3,head,random,18,58.57438696755303,31.263728930716347,2428.3333333333335,3398.0
molformer_c3,lora,,18,89.20618433422513,65.12817859431453,5758.055555555556,11444.0
molformer_c3,lora,random,36,85.77307770649593,58.50823469922562,5832.666666666667,11714.0
molformer_c3,lora,scaffold,126,53.66524788500771,33.572339603393445,6616.992063492064,12186.0
