index,backbone,method_comparison,protocol,alt_bootstrap_seed,n_pairs,locked_lower,locked_upper,alt_lower,alt_upper,alt_bootstrap_mean,locked_includes_zero,alt_includes_zero,invariant,zero_inclusion_changed
1,cmpnn,lora_vs_dora,scaffold,0,36,-0.0071460013888888915,0.010377041666666661,-0.00729669236111111,0.010395631944444449,0.0017897712055555577,True,True,True,False
1,cmpnn,lora_vs_dora,scaffold,1,36,-0.0071460013888888915,0.010377041666666661,-0.007147415277777775,0.010602386805555565,0.0018688211777777802,True,True,True,False
1,cmpnn,lora_vs_dora,scaffold,2,36,-0.0071460013888888915,0.010377041666666661,-0.007321133333333329,0.010588588194444436,0.0017401925583333355,True,True,True,False
1,cmpnn,lora_vs_dora,scaffold,7,36,-0.0071460013888888915,0.010377041666666661,-0.007399487499999981,0.010272265277777769,0.00177831432777778,True,True,True,False
1,cmpnn,lora_vs_dora,scaffold,100,36,-0.0071460013888888915,0.010377041666666661,-0.007328004166666671,0.010450534027777791,0.0018336638666666687,True,True,True,False
2,cmpnn,lora_vs_dora,random,0,36,-0.007960666666666689,0.0034509215277777707,-0.007877336805555572,0.003487522916666661,-0.0019342095027777863,True,True,True,False
2,cmpnn,lora_vs_dora,random,1,36,-0.007960666666666689,0.0034509215277777707,-0.007995536111111125,0.003446235416666672,-0.001971498377777786,True,True,True,False
2,cmpnn,lora_vs_dora,random,2,36,-0.007960666666666689,0.0034509215277777707,-0.007894858333333343,0.003412727777777775,-0.0019204029527777862,True,True,True,False
2,cmpnn,lora_vs_dora,random,7,36,-0.007960666666666689,0.0034509215277777707,-0.007829507638888905,0.0035012763888888783,-0.0019058001277777862,True,True,True,False
2,cmpnn,lora_vs_dora,random,100,36,-0.007960666666666689,0.0034509215277777707,-0.008055675000000014,0.003453292361111112,-0.0019135823138888973,True,True,True,False
3,cmpnn,fullft_vs_lora,scaffold,0,35,-0.06466305571428571,-0.006417693571428581,-0.0639854142857143,-0.0074999249999999915,-0.03640296083428571,False,False,True,False
3,cmpnn,fullft_vs_lora,scaffold,1,35,-0.06466305571428571,-0.006417693571428581,-0.06469250357142856,-0.006336286428571432,-0.03634978578571428,False,False,True,False
3,cmpnn,fullft_vs_lora,scaffold,2,35,-0.06466305571428571,-0.006417693571428581,-0.06471255571428572,-0.006899986428571402,-0.03635902938571428,False,False,True,False
3,cmpnn,fullft_vs_lora,scaffold,7,35,-0.06466305571428571,-0.006417693571428581,-0.0645960792857143,-0.0069367000000000074,-0.03651984549428571,False,False,True,False
3,cmpnn,fullft_vs_lora,scaffold,100,35,-0.06466305571428571,-0.006417693571428581,-0.06479766071428568,-0.00696811928571429,-0.036541976771428564,False,False,True,False
4,cmpnn,fullft_vs_lora,random,0,36,-0.04944559097222223,-0.020680001388888897,-0.04967850138888891,-0.020532547222222235,-0.03418044312222223,False,False,True,False
4,cmpnn,fullft_vs_lora,random,1,36,-0.04944559097222223,-0.020680001388888897,-0.049087995138888896,-0.020771916666666692,-0.03400514398333334,False,False,True,False
4,cmpnn,fullft_vs_lora,random,2,36,-0.04944559097222223,-0.020680001388888897,-0.04900393541666667,-0.020748320138888908,-0.03392787801111112,False,False,True,False
4,cmpnn,fullft_vs_lora,random,7,36,-0.04944559097222223,-0.020680001388888897,-0.049266044444444455,-0.02094565347222224,-0.034190850213888895,False,False,True,False
4,cmpnn,fullft_vs_lora,random,100,36,-0.04944559097222223,-0.020680001388888897,-0.049202004861111114,-0.020436968055555577,-0.034129709413888897,False,False,True,False
5,cmpnn,fullft_vs_dora,scaffold,0,35,-0.06410729857142854,-0.010537010714285712,-0.06379527071428569,-0.011258036428571424,-0.03733175904571427,False,False,True,False
5,cmpnn,fullft_vs_dora,scaffold,1,35,-0.06410729857142854,-0.010537010714285712,-0.0640514964285714,-0.010446222142857143,-0.03727308119142856,False,False,True,False
5,cmpnn,fullft_vs_dora,scaffold,2,35,-0.06410729857142854,-0.010537010714285712,-0.06457117357142858,-0.010636491428571425,-0.037227569654285704,False,False,True,False
5,cmpnn,fullft_vs_dora,scaffold,7,35,-0.06410729857142854,-0.010537010714285712,-0.06405196714285714,-0.01073623928571428,-0.037396459399999984,False,False,True,False
5,cmpnn,fullft_vs_dora,scaffold,100,35,-0.06410729857142854,-0.010537010714285712,-0.0642430157142857,-0.010837824285714281,-0.037371411905714275,False,False,True,False
6,cmpnn,fullft_vs_dora,random,0,36,-0.04823410833333333,-0.01716823402777779,-0.04810593055555555,-0.01688861180555557,-0.03224623361944445,False,False,True,False
6,cmpnn,fullft_vs_dora,random,1,36,-0.04823410833333333,-0.01716823402777779,-0.04758328680555556,-0.017049277083333335,-0.03203364560555556,False,False,True,False
6,cmpnn,fullft_vs_dora,random,2,36,-0.04823410833333333,-0.01716823402777779,-0.04751988611111112,-0.017161948611111127,-0.03200747505833334,False,False,True,False
