dataset,model,protocol,seed,task_type,metric_type,metric,n_tasks_evaluated,status,paper_best_peft_metric,paper_best_peft_source,sklearn_outperforms_peft_by_gt_0_05,outperformance_margin,error
freesolv,RandomForest,scaffold,0,regression,rmse,4.653680208130443,1,PASS,0.9060015502268011,docs/stage3/z1_seed_extension_results.json,False,-3.7476786579036423,
freesolv,RandomForest,scaffold,1,regression,rmse,4.9736955212854745,1,PASS,0.9060015502268011,docs/stage3/z1_seed_extension_results.json,False,-4.067693971058674,
freesolv,RandomForest,scaffold,2,regression,rmse,4.360006169705338,1,PASS,0.9060015502268011,docs/stage3/z1_seed_extension_results.json,False,-3.454004619478537,
freesolv,RandomForest,random,0,regression,rmse,2.940456071467346,1,PASS,0.9060015502268011,docs/stage3/z1_seed_extension_results.json,False,-2.034454521240545,
freesolv,RandomForest,random,1,regression,rmse,1.744290345378696,1,PASS,0.9060015502268011,docs/stage3/z1_seed_extension_results.json,False,-0.8382887951518949,
freesolv,RandomForest,random,2,regression,rmse,2.882262750924675,1,PASS,0.9060015502268011,docs/stage3/z1_seed_extension_results.json,False,-1.9762612006978741,
freesolv,GradientBoosting,scaffold,0,regression,rmse,4.080889793947837,1,PASS,0.9060015502268011,docs/stage3/z1_seed_extension_results.json,False,-3.1748882437210364,
freesolv,GradientBoosting,scaffold,1,regression,rmse,4.973636129409598,1,PASS,0.9060015502268011,docs/stage3/z1_seed_extension_results.json,False,-4.067634579182797,
freesolv,GradientBoosting,scaffold,2,regression,rmse,4.092124079194578,1,PASS,0.9060015502268011,docs/stage3/z1_seed_extension_results.json,False,-3.1861225289677773,
freesolv,GradientBoosting,random,0,regression,rmse,2.080086257758594,1,PASS,0.9060015502268011,docs/stage3/z1_seed_extension_results.json,False,-1.174084707531793,
freesolv,GradientBoosting,random,1,regression,rmse,1.697121234469258,1,PASS,0.9060015502268011,docs/stage3/z1_seed_extension_results.json,False,-0.791119684242457,
freesolv,GradientBoosting,random,2,regression,rmse,2.718036052228897,1,PASS,0.9060015502268011,docs/stage3/z1_seed_extension_results.json,False,-1.8120345020020958,
esol,RandomForest,scaffold,0,regression,rmse,1.2930341352642616,1,PASS,0.555756,docs/stage3/z1_seed_extension_results.json,False,-0.7372781352642616,
esol,RandomForest,scaffold,1,regression,rmse,2.239352163934057,1,PASS,0.555756,docs/stage3/z1_seed_extension_results.json,False,-1.6835961639340566,
esol,RandomForest,scaffold,2,regression,rmse,1.5352952585338264,1,PASS,0.555756,docs/stage3/z1_seed_extension_results.json,False,-0.9795392585338264,
esol,RandomForest,random,0,regression,rmse,1.253401373122586,1,PASS,0.555756,docs/stage3/z1_seed_extension_results.json,False,-0.6976453731225859,
esol,RandomForest,random,1,regression,rmse,1.214895215040187,1,PASS,0.555756,docs/stage3/z1_seed_extension_results.json,False,-0.659139215040187,
esol,RandomForest,random,2,regression,rmse,1.2890321421313151,1,PASS,0.555756,docs/stage3/z1_seed_extension_results.json,False,-0.7332761421313151,
esol,GradientBoosting,scaffold,0,regression,rmse,1.3584768895379171,1,PASS,0.555756,docs/stage3/z1_seed_extension_results.json,False,-0.8027208895379171,
esol,GradientBoosting,scaffold,1,regression,rmse,2.079392903189062,1,PASS,0.555756,docs/stage3/z1_seed_extension_results.json,False,-1.523636903189062,
esol,GradientBoosting,scaffold,2,regression,rmse,1.6131446368157263,1,PASS,0.555756,docs/stage3/z1_seed_extension_results.json,False,-1.0573886368157264,
esol,GradientBoosting,random,0,regression,rmse,1.2621565790020792,1,PASS,0.555756,docs/stage3/z1_seed_extension_results.json,False,-0.7064005790020792,
esol,GradientBoosting,random,1,regression,rmse,1.2011750304897095,1,PASS,0.555756,docs/stage3/z1_seed_extension_results.json,False,-0.6454190304897095,
esol,GradientBoosting,random,2,regression,rmse,1.2359551373262847,1,PASS,0.555756,docs/stage3/z1_seed_extension_results.json,False,-0.6801991373262847,
lipo,RandomForest,scaffold,0,regression,rmse,0.9096918618906356,1,PASS,0.558719,docs/stage3/z1_seed_extension_results.json,False,-0.3509728618906356,
lipo,RandomForest,scaffold,1,regression,rmse,0.8889615234994709,1,PASS,0.558719,docs/stage3/z1_seed_extension_results.json,False,-0.3302425234994709,
lipo,RandomForest,scaffold,2,regression,rmse,1.0351708966211595,1,PASS,0.558719,docs/stage3/z1_seed_extension_results.json,False,-0.4764518966211595,
lipo,RandomForest,random,0,regression,rmse,0.7772516269184724,1,PASS,0.558719,docs/stage3/z1_seed_extension_results.json,False,-0.21853262691847242,
lipo,RandomForest,random,1,regression,rmse,0.8795676100156672,1,PASS,0.558719,docs/stage3/z1_seed_extension_results.json,False,-0.3208486100156672,
lipo,RandomForest,random,2,regression,rmse,0.878321076030406,1,PASS,0.558719,docs/stage3/z1_seed_extension_results.json,False,-0.319602076030406,
lipo,GradientBoosting,scaffold,0,regression,rmse,0.8875318557918261,1,PASS,0.558719,docs/stage3/z1_seed_extension_results.json,False,-0.3288128557918262,
lipo,GradientBoosting,scaffold,1,regression,rmse,0.9131110283086726,1,PASS,0.558719,docs/stage3/z1_seed_extension_results.json,False,-0.35439202830867267,
lipo,GradientBoosting,scaffold,2,regression,rmse,1.002474929402509,1,PASS,0.558719,docs/stage3/z1_seed_extension_results.json,False,-0.4437559294025091,
lipo,GradientBoosting,random,0,regression,rmse,0.7704371675986205,1,PASS,0.558719,docs/stage3/z1_seed_extension_results.json,False,-0.2117181675986205,
lipo,GradientBoosting,random,1,regression,rmse,0.8834277061185742,1,PASS,0.558719,docs/stage3/z1_seed_extension_results.json,False,-0.3247087061185743,
lipo,GradientBoosting,random,2,regression,rmse,0.8717191354375015,1,PASS,0.558719,docs/stage3/z1_seed_extension_results.json,False,-0.3130001354375015,
bace,RandomForest,scaffold,0,classification,auc,0.8156277436347673,1,PASS,0.924545,docs/stage3/z1_seed_extension_results.json,False,-0.10891725636523264,
bace,RandomForest,scaffold,1,classification,auc,0.9054006968641115,1,PASS,0.924545,docs/stage3/z1_seed_extension_results.json,False,-0.01914430313588844,
bace,RandomForest,scaffold,2,classification,auc,0.8903921568627451,1,PASS,0.924545,docs/stage3/z1_seed_extension_results.json,False,-0.03415284313725486,
bace,RandomForest,random,0,classification,auc,0.9379310344827587,1,PASS,0.924545,docs/stage3/z1_seed_extension_results.json,False,0.013386034482758769,
bace,RandomForest,random,1,classification,auc,0.8751761804087386,1,PASS,0.924545,docs/stage3/z1_seed_extension_results.json,False,-0.04936881959126138,
bace,RandomForest,random,2,classification,auc,0.8445957744019557,1,PASS,0.924545,docs/stage3/z1_seed_extension_results.json,False,-0.0799492255980443,
bace,GradientBoosting,scaffold,0,classification,auc,0.8191395961369623,1,PASS,0.924545,docs/stage3/z1_seed_extension_results.json,False,-0.10540540386303765,
bace,GradientBoosting,scaffold,1,classification,auc,0.8883275261324042,1,PASS,0.924545,docs/stage3/z1_seed_extension_results.json,False,-0.03621747386759577,
bace,GradientBoosting,scaffold,2,classification,auc,0.8958823529411765,1,PASS,0.924545,docs/stage3/z1_seed_extension_results.json,False,-0.028662647058823487,
bace,GradientBoosting,random,0,classification,auc,0.9311229000884174,1,PASS,0.924545,docs/stage3/z1_seed_extension_results.json,False,0.00657790008841741,
bace,GradientBoosting,random,1,classification,auc,0.8867159971811134,1,PASS,0.924545,docs/stage3/z1_seed_extension_results.json,False,-0.03782900281888657,
bace,GradientBoosting,random,2,classification,auc,0.8279203771608171,1,PASS,0.924545,docs/stage3/z1_seed_extension_results.json,False,-0.09662462283918283,
bbbp,RandomForest,scaffold,0,classification,auc,0.9110609789444899,1,PASS,0.988036593947924,docs/stage3/n5_rank_sensitivity_results_table.json,False,-0.07697561500343408,
bbbp,RandomForest,scaffold,1,classification,auc,0.8601212121212121,1,PASS,0.988036593947924,docs/stage3/n5_rank_sensitivity_results_table.json,False,-0.12791538182671192,
bbbp,RandomForest,scaffold,2,classification,auc,0.9064039408866996,1,PASS,0.988036593947924,docs/stage3/n5_rank_sensitivity_results_table.json,False,-0.08163265306122436,
bbbp,RandomForest,random,0,classification,auc,0.911890243902439,1,PASS,0.988036593947924,docs/stage3/n5_rank_sensitivity_results_table.json,False,-0.07614635004548498,
bbbp,RandomForest,random,1,classification,auc,0.9288205453392517,1,PASS,0.988036593947924,docs/stage3/n5_rank_sensitivity_results_table.json,False,-0.059216048608672245,
bbbp,RandomForest,random,2,classification,auc,0.8893350888742594,1,PASS,0.988036593947924,docs/stage3/n5_rank_sensitivity_results_table.json,False,-0.0987015050736646,
bbbp,GradientBoosting,scaffold,0,classification,auc,0.8987558107738584,1,PASS,0.988036593947924,docs/stage3/n5_rank_sensitivity_results_table.json,False,-0.08928078317406563,
bbbp,GradientBoosting,scaffold,1,classification,auc,0.8135757575757576,1,PASS,0.988036593947924,docs/stage3/n5_rank_sensitivity_results_table.json,False,-0.17446083637216636,
bbbp,GradientBoosting,scaffold,2,classification,auc,0.8919188365001173,1,PASS,0.988036593947924,docs/stage3/n5_rank_sensitivity_results_table.json,False,-0.0961177574478067,
bbbp,GradientBoosting,random,0,classification,auc,0.8751524390243903,1,PASS,0.988036593947924,docs/stage3/n5_rank_sensitivity_results_table.json,False,-0.11288415492353365,
bbbp,GradientBoosting,random,1,classification,auc,0.9332593532022829,1,PASS,0.988036593947924,docs/stage3/n5_rank_sensitivity_results_table.json,False,-0.054777240745641054,
bbbp,GradientBoosting,random,2,classification,auc,0.8767610269914418,1,PASS,0.988036593947924,docs/stage3/n5_rank_sensitivity_results_table.json,False,-0.11127556695648222,
sider,RandomForest,scaffold,0,classification,mean_auc,0.658728560080537,27,PASS,0.6582432422262396,docs/stage3/z1_seed_extension_results.json,False,0.0004853178542973957,
sider,RandomForest,scaffold,1,classification,mean_auc,0.6352992437947091,27,PASS,0.6582432422262396,docs/stage3/z1_seed_extension_results.json,False,-0.0229439984315305,
sider,RandomForest,scaffold,2,classification,mean_auc,0.6436060808593536,27,PASS,0.6582432422262396,docs/stage3/z1_seed_extension_results.json,False,-0.014637161366886087,
sider,RandomForest,random,0,classification,mean_auc,0.6726870124312596,27,PASS,0.6582432422262396,docs/stage3/z1_seed_extension_results.json,False,0.014443770205019968,
sider,RandomForest,random,1,classification,mean_auc,0.6783604305393716,27,PASS,0.6582432422262396,docs/stage3/z1_seed_extension_results.json,False,0.020117188313131917,
sider,RandomForest,random,2,classification,mean_auc,0.6550354005978577,27,PASS,0.6582432422262396,docs/stage3/z1_seed_extension_results.json,False,-0.0032078416283819466,
sider,GradientBoosting,scaffold,0,classification,mean_auc,0.6125016205242488,27,PASS,0.6582432422262396,docs/stage3/z1_seed_extension_results.json,False,-0.04574162170199081,
sider,GradientBoosting,scaffold,1,classification,mean_auc,0.5806434368995987,27,PASS,0.6582432422262396,docs/stage3/z1_seed_extension_results.json,False,-0.0775998053266409,
sider,GradientBoosting,scaffold,2,classification,mean_auc,0.6410647288712232,27,PASS,0.6582432422262396,docs/stage3/z1_seed_extension_results.json,False,-0.01717851335501641,
sider,GradientBoosting,random,0,classification,mean_auc,0.6616859691566573,27,PASS,0.6582432422262396,docs/stage3/z1_seed_extension_results.json,False,0.0034427269304176944,
sider,GradientBoosting,random,1,classification,mean_auc,0.6403704407335004,27,PASS,0.6582432422262396,docs/stage3/z1_seed_extension_results.json,False,-0.017872801492739288,
sider,GradientBoosting,random,2,classification,mean_auc,0.6371579212182488,27,PASS,0.6582432422262396,docs/stage3/z1_seed_extension_results.json,False,-0.021085321007990876,
