backbone,dataset,method,lora_alpha,seed,protocol,metric_type,task_type,n7_metric,alpha16_baseline_metric,paired_bad_diff_vs_alpha16,direction,n7_checkpoint,alpha16_baseline_checkpoint
cmpnn,freesolv,lora,8,0,random,rmse,regression,0.97137,0.929987,0.04138299999999995,positive = alpha variant worse than alpha=16 baseline in bad-space,docs/overnight_2026-05-20/t7_n7_alpha_sensitivity_random/checkpoints/t7_n7_random_cmpnn_freesolv_lora_alpha8_seed0/run_0/model_0/model.pt,dumped/baseline_freesolv_lora_seed0/run_0/model_0/model.pt
cmpnn,freesolv,lora,8,1,random,rmse,regression,0.76891,0.811125,-0.042215,positive = alpha variant worse than alpha=16 baseline in bad-space,docs/overnight_2026-05-20/t7_n7_alpha_sensitivity_random/checkpoints/t7_n7_random_cmpnn_freesolv_lora_alpha8_seed1/run_0/model_0/model.pt,dumped/baseline_freesolv_lora_seed1/run_0/model_0/model.pt
cmpnn,freesolv,lora,8,2,random,rmse,regression,1.790077,1.721812,0.06826500000000002,positive = alpha variant worse than alpha=16 baseline in bad-space,docs/overnight_2026-05-20/t7_n7_alpha_sensitivity_random/checkpoints/t7_n7_random_cmpnn_freesolv_lora_alpha8_seed2/run_0/model_0/model.pt,dumped/baseline_freesolv_lora_seed2/run_0/model_0/model.pt
cmpnn,freesolv,lora,32,0,random,rmse,regression,0.986024,0.929987,0.056037000000000003,positive = alpha variant worse than alpha=16 baseline in bad-space,docs/overnight_2026-05-20/t7_n7_alpha_sensitivity_random/checkpoints/t7_n7_random_cmpnn_freesolv_lora_alpha32_seed0/run_0/model_0/model.pt,dumped/baseline_freesolv_lora_seed0/run_0/model_0/model.pt
cmpnn,freesolv,lora,32,1,random,rmse,regression,1.083119,0.811125,0.27199399999999996,positive = alpha variant worse than alpha=16 baseline in bad-space,docs/overnight_2026-05-20/t7_n7_alpha_sensitivity_random/checkpoints/t7_n7_random_cmpnn_freesolv_lora_alpha32_seed1/run_0/model_0/model.pt,dumped/baseline_freesolv_lora_seed1/run_0/model_0/model.pt
cmpnn,freesolv,lora,32,2,random,rmse,regression,1.714808,1.721812,-0.007003999999999788,positive = alpha variant worse than alpha=16 baseline in bad-space,docs/overnight_2026-05-20/t7_n7_alpha_sensitivity_random/checkpoints/t7_n7_random_cmpnn_freesolv_lora_alpha32_seed2/run_0/model_0/model.pt,dumped/baseline_freesolv_lora_seed2/run_0/model_0/model.pt
cmpnn,freesolv,dora,8,0,random,rmse,regression,1.001445,0.950326,0.051118999999999915,positive = alpha variant worse than alpha=16 baseline in bad-space,docs/overnight_2026-05-20/t7_n7_alpha_sensitivity_random/checkpoints/t7_n7_random_cmpnn_freesolv_dora_alpha8_seed0/run_0/model_0/model.pt,dumped/baseline_freesolv_dora_seed0/run_0/model_0/model.pt
cmpnn,freesolv,dora,8,1,random,rmse,regression,0.790968,0.818133,-0.027164999999999995,positive = alpha variant worse than alpha=16 baseline in bad-space,docs/overnight_2026-05-20/t7_n7_alpha_sensitivity_random/checkpoints/t7_n7_random_cmpnn_freesolv_dora_alpha8_seed1/run_0/model_0/model.pt,dumped/baseline_freesolv_dora_seed1/run_0/model_0/model.pt
cmpnn,freesolv,dora,8,2,random,rmse,regression,1.782572,1.724062,0.05851000000000006,positive = alpha variant worse than alpha=16 baseline in bad-space,docs/overnight_2026-05-20/t7_n7_alpha_sensitivity_random/checkpoints/t7_n7_random_cmpnn_freesolv_dora_alpha8_seed2/run_0/model_0/model.pt,dumped/baseline_freesolv_dora_seed2/run_0/model_0/model.pt
cmpnn,freesolv,dora,32,0,random,rmse,regression,1.003635,0.950326,0.05330900000000005,positive = alpha variant worse than alpha=16 baseline in bad-space,docs/overnight_2026-05-20/t7_n7_alpha_sensitivity_random/checkpoints/t7_n7_random_cmpnn_freesolv_dora_alpha32_seed0/run_0/model_0/model.pt,dumped/baseline_freesolv_dora_seed0/run_0/model_0/model.pt
cmpnn,freesolv,dora,32,1,random,rmse,regression,1.048143,0.818133,0.23001000000000005,positive = alpha variant worse than alpha=16 baseline in bad-space,docs/overnight_2026-05-20/t7_n7_alpha_sensitivity_random/checkpoints/t7_n7_random_cmpnn_freesolv_dora_alpha32_seed1/run_0/model_0/model.pt,dumped/baseline_freesolv_dora_seed1/run_0/model_0/model.pt
cmpnn,freesolv,dora,32,2,random,rmse,regression,1.737796,1.724062,0.013733999999999913,positive = alpha variant worse than alpha=16 baseline in bad-space,docs/overnight_2026-05-20/t7_n7_alpha_sensitivity_random/checkpoints/t7_n7_random_cmpnn_freesolv_dora_alpha32_seed2/run_0/model_0/model.pt,dumped/baseline_freesolv_dora_seed2/run_0/model_0/model.pt
cmpnn,esol,lora,8,0,random,rmse,regression,0.685402,0.67049,0.014911999999999925,positive = alpha variant worse than alpha=16 baseline in bad-space,docs/overnight_2026-05-20/t7_n7_alpha_sensitivity_random/checkpoints/t7_n7_random_cmpnn_esol_lora_alpha8_seed0/run_0/model_0/model.pt,dumped/baseline_esol_lora_seed0/run_0/model_0/model.pt
cmpnn,esol,lora,8,1,random,rmse,regression,0.645683,0.611754,0.03392899999999999,positive = alpha variant worse than alpha=16 baseline in bad-space,docs/overnight_2026-05-20/t7_n7_alpha_sensitivity_random/checkpoints/t7_n7_random_cmpnn_esol_lora_alpha8_seed1/run_0/model_0/model.pt,dumped/baseline_esol_lora_seed1/run_0/model_0/model.pt
cmpnn,esol,lora,8,2,random,rmse,regression,0.60408,0.570915,0.033165,positive = alpha variant worse than alpha=16 baseline in bad-space,docs/overnight_2026-05-20/t7_n7_alpha_sensitivity_random/checkpoints/t7_n7_random_cmpnn_esol_lora_alpha8_seed2/run_0/model_0/model.pt,dumped/baseline_esol_lora_seed2/run_0/model_0/model.pt
cmpnn,esol,lora,32,0,random,rmse,regression,0.682504,0.67049,0.01201399999999997,positive = alpha variant worse than alpha=16 baseline in bad-space,docs/overnight_2026-05-20/t7_n7_alpha_sensitivity_random/checkpoints/t7_n7_random_cmpnn_esol_lora_alpha32_seed0/run_0/model_0/model.pt,dumped/baseline_esol_lora_seed0/run_0/model_0/model.pt
