cell_id,backbone,dataset,method,split_type,seed,peak_vram_mib,torch_peak_mib,external_peak_mib,measurement_source,train_seconds,val_metric,metric_type,n4_val_metric_reference,val_metric_diff,reproducibility_status,status,checkpoint,checkpoint_exists,training_log,run_log,notes
t8_cmpnn_fullft_freesolv_random_seed0,cmpnn,freesolv,full_ft,random,0,3660,177.3125,3660,external_nvidia_smi_parent_monitor_fallback_torch_peak_below_sanity,26.525930643081665,0.8106362542242401,rmse,0.810636,2.542242401037953e-07,PASS,PASS,dumped/t8_t8_cmpnn_fullft_freesolv_random_seed0/run_0/model_0/model.pt,True,logs/t8_t8_cmpnn_fullft_freesolv_random_seed0.log,docs/overnight_2026-05-20/t8_cmpnn_fullft_vram_recovery/run_logs/t8_cmpnn_fullft_001_freesolv_random_seed0.log,"torch_peak_mib=177.3125 outside commission sanity band [1000,30000); peak_vram_mib uses external nvidia-smi fallback"
t8_cmpnn_fullft_freesolv_random_seed1,cmpnn,freesolv,full_ft,random,1,3676,178.01611328125,3676,external_nvidia_smi_parent_monitor_fallback_torch_peak_below_sanity,23.979480028152466,0.8105041382810371,rmse,0.810504,1.3828103706536865e-07,PASS,PASS,dumped/t8_t8_cmpnn_fullft_freesolv_random_seed1/run_0/model_0/model.pt,True,logs/t8_t8_cmpnn_fullft_freesolv_random_seed1.log,docs/overnight_2026-05-20/t8_cmpnn_fullft_vram_recovery/run_logs/t8_cmpnn_fullft_002_freesolv_random_seed1.log,"torch_peak_mib=178.01611328125 outside commission sanity band [1000,30000); peak_vram_mib uses external nvidia-smi fallback"
t8_cmpnn_fullft_esol_random_seed0,cmpnn,esol,full_ft,random,0,3702,247.1357421875,3702,external_nvidia_smi_parent_monitor_fallback_torch_peak_below_sanity,48.17255902290344,0.6708126386858875,rmse,0.670813,3.613141125180519e-07,PASS,PASS,dumped/t8_t8_cmpnn_fullft_esol_random_seed0/run_0/model_0/model.pt,True,logs/t8_t8_cmpnn_fullft_esol_random_seed0.log,docs/overnight_2026-05-20/t8_cmpnn_fullft_vram_recovery/run_logs/t8_cmpnn_fullft_003_esol_random_seed0.log,"torch_peak_mib=247.1357421875 outside commission sanity band [1000,30000); peak_vram_mib uses external nvidia-smi fallback"
t8_cmpnn_fullft_esol_random_seed1,cmpnn,esol,full_ft,random,1,3803,248.7744140625,3803,external_nvidia_smi_parent_monitor_fallback_torch_peak_below_sanity,50.20246195793152,0.5846023479105472,rmse,0.584602,3.47910547260355e-07,PASS,PASS,dumped/t8_t8_cmpnn_fullft_esol_random_seed1/run_0/model_0/model.pt,True,logs/t8_t8_cmpnn_fullft_esol_random_seed1.log,docs/overnight_2026-05-20/t8_cmpnn_fullft_vram_recovery/run_logs/t8_cmpnn_fullft_004_esol_random_seed1.log,"torch_peak_mib=248.7744140625 outside commission sanity band [1000,30000); peak_vram_mib uses external nvidia-smi fallback"
t8_cmpnn_fullft_lipo_random_seed0,cmpnn,lipo,full_ft,random,0,4135,397.9755859375,4135,external_nvidia_smi_parent_monitor_fallback_torch_peak_below_sanity,293.09570813179016,0.5373106485615361,rmse,0.537311,3.5143846388585587e-07,PASS,PASS,dumped/t8_t8_cmpnn_fullft_lipo_random_seed0/run_0/model_0/model.pt,True,logs/t8_t8_cmpnn_fullft_lipo_random_seed0.log,docs/overnight_2026-05-20/t8_cmpnn_fullft_vram_recovery/run_logs/t8_cmpnn_fullft_005_lipo_random_seed0.log,"torch_peak_mib=397.9755859375 outside commission sanity band [1000,30000); peak_vram_mib uses external nvidia-smi fallback"
t8_cmpnn_fullft_lipo_random_seed1,cmpnn,lipo,full_ft,random,1,4043,392.63818359375,4043,external_nvidia_smi_parent_monitor_fallback_torch_peak_below_sanity,292.9236114025116,0.6187653447446975,rmse,0.618765,3.4474469745582326e-07,PASS,PASS,dumped/t8_t8_cmpnn_fullft_lipo_random_seed1/run_0/model_0/model.pt,True,logs/t8_t8_cmpnn_fullft_lipo_random_seed1.log,docs/overnight_2026-05-20/t8_cmpnn_fullft_vram_recovery/run_logs/t8_cmpnn_fullft_006_lipo_random_seed1.log,"torch_peak_mib=392.63818359375 outside commission sanity band [1000,30000); peak_vram_mib uses external nvidia-smi fallback"
t8_cmpnn_fullft_bace_random_seed0,cmpnn,bace,full_ft,random,0,3994,375.98046875,3994,external_nvidia_smi_parent_monitor_fallback_torch_peak_below_sanity,115.9842894077301,0.9386383731211317,auc,0.938638,3.7312113176923845e-07,PASS,PASS,dumped/t8_t8_cmpnn_fullft_bace_random_seed0/run_0/model_0/model.pt,True,logs/t8_t8_cmpnn_fullft_bace_random_seed0.log,docs/overnight_2026-05-20/t8_cmpnn_fullft_vram_recovery/run_logs/t8_cmpnn_fullft_007_bace_random_seed0.log,"torch_peak_mib=375.98046875 outside commission sanity band [1000,30000); peak_vram_mib uses external nvidia-smi fallback"
t8_cmpnn_fullft_bace_random_seed1,cmpnn,bace,full_ft,random,1,4005,324.2548828125,4005,external_nvidia_smi_parent_monitor_fallback_torch_peak_below_sanity,128.0776777267456,0.8230267794221283,auc,0.823027,2.2057787163465292e-07,PASS,PASS,dumped/t8_t8_cmpnn_fullft_bace_random_seed1/run_0/model_0/model.pt,True,logs/t8_t8_cmpnn_fullft_bace_random_seed1.log,docs/overnight_2026-05-20/t8_cmpnn_fullft_vram_recovery/run_logs/t8_cmpnn_fullft_008_bace_random_seed1.log,"torch_peak_mib=324.2548828125 outside commission sanity band [1000,30000); peak_vram_mib uses external nvidia-smi fallback"
t8_cmpnn_fullft_bbbp_random_seed0,cmpnn,bbbp,full_ft,random,0,4027,425.02685546875,4027,external_nvidia_smi_parent_monitor_fallback_torch_peak_below_sanity,124.68014907836914,0.9454268292682928,auc,0.945427,1.707317072163761e-07,PASS,PASS,dumped/t8_t8_cmpnn_fullft_bbbp_random_seed0/run_0/model_0/model.pt,True,logs/t8_t8_cmpnn_fullft_bbbp_random_seed0.log,docs/overnight_2026-05-20/t8_cmpnn_fullft_vram_recovery/run_logs/t8_cmpnn_fullft_009_bbbp_random_seed0.log,"torch_peak_mib=425.02685546875 outside commission sanity band [1000,30000); peak_vram_mib uses external nvidia-smi fallback"
t8_cmpnn_fullft_bbbp_random_seed1,cmpnn,bbbp,full_ft,random,1,4043,426.70166015625,4043,external_nvidia_smi_parent_monitor_fallback_torch_peak_below_sanity,116.62688136100769,0.9606848446417247,auc,0.960685,1.553582753555105e-07,PASS,PASS,dumped/t8_t8_cmpnn_fullft_bbbp_random_seed1/run_0/model_0/model.pt,True,logs/t8_t8_cmpnn_fullft_bbbp_random_seed1.log,docs/overnight_2026-05-20/t8_cmpnn_fullft_vram_recovery/run_logs/t8_cmpnn_fullft_010_bbbp_random_seed1.log,"torch_peak_mib=426.70166015625 outside commission sanity band [1000,30000); peak_vram_mib uses external nvidia-smi fallback"
