run_id,cell_index,backbone,dataset,method,seed,outcome,metric_name,metric_value,bad_diff,final_epoch,best_epoch,batch_size,lr,weight_decay,epochs_budget,patience,train_curve_path,checkpoint_path,duration_sec,error_class,error_message
r3_production_v1_20260528_030441,1,graphmvp_gin,sider,LoRA,0,PASS,auc,0.6080272842,-0.0033449913,50,44,50,0.001,0.0,50,30,results/spec_a_r3_production/r3_production_v1_20260528_030441_graphmvp_train_curves.csv,results/spec_a_r3_production/checkpoints/r3_production_v1_20260528_030441_cell_001_graphmvp_gin_sider_LoRA_seed0.pt,67.5,,
r3_production_v1_20260528_030441,2,graphmvp_gin,sider,LoRA,1,PASS,auc,0.6504827749,0.0295132526,41,11,50,0.001,0.0,50,30,results/spec_a_r3_production/r3_production_v1_20260528_030441_graphmvp_train_curves.csv,results/spec_a_r3_production/checkpoints/r3_production_v1_20260528_030441_cell_002_graphmvp_gin_sider_LoRA_seed1.pt,67.3,,
r3_production_v1_20260528_030441,3,graphmvp_gin,sider,LoRA,2,PASS,auc,0.617592301,0.0072114749,50,21,50,0.001,0.0,50,30,results/spec_a_r3_production/r3_production_v1_20260528_030441_graphmvp_train_curves.csv,results/spec_a_r3_production/checkpoints/r3_production_v1_20260528_030441_cell_003_graphmvp_gin_sider_LoRA_seed2.pt,67.3,,
r3_production_v1_20260528_030441,4,graphmvp_gin,sider,DoRA,0,PASS,auc,0.6113722755,-0.0033449913,50,44,50,0.001,0.0,50,30,results/spec_a_r3_production/r3_production_v1_20260528_030441_graphmvp_train_curves.csv,results/spec_a_r3_production/checkpoints/r3_production_v1_20260528_030441_cell_004_graphmvp_gin_sider_DoRA_seed0.pt,67.6,,
r3_production_v1_20260528_030441,5,graphmvp_gin,sider,DoRA,1,PASS,auc,0.6209695223,0.0295132526,50,29,50,0.001,0.0,50,30,results/spec_a_r3_production/r3_production_v1_20260528_030441_graphmvp_train_curves.csv,results/spec_a_r3_production/checkpoints/r3_production_v1_20260528_030441_cell_005_graphmvp_gin_sider_DoRA_seed1.pt,63.7,,
r3_production_v1_20260528_030441,6,graphmvp_gin,sider,DoRA,2,PASS,auc,0.6103808261,0.0072114749,50,26,50,0.001,0.0,50,30,results/spec_a_r3_production/r3_production_v1_20260528_030441_graphmvp_train_curves.csv,results/spec_a_r3_production/checkpoints/r3_production_v1_20260528_030441_cell_006_graphmvp_gin_sider_DoRA_seed2.pt,67.8,,
r3_production_v1_20260528_030441,7,unimol2_84m,sider,LoRA,0,INCOMPLETE,,,,,,8,0.0003,0.0,50,30,,,1003.3,PROCESS_FAIL,"5/1141 [00:31<05:01,  2.34it/s]
 38%|███▊      | 437/1141 [00:31<04:11,  2.80it/s]
 38%|███▊      | 439/1141 [00:51<28:44,  2.46s/it]
 39%|███▊      | 441/1141 [00:53<24:40,  2.11s/it]
 39%|███▉      | 444/1141 [00:53<16:23,  1.41s/it]
 39%|███▉      | 448/1141 [00:53<09:59,  1.16it/s]
 40%|███▉      | 455/1141 [00:53<05:04,  2.25it/s]
 40%|████      | 459/1141 [00:53<03:45,  3.03it/s]
 40%|████      | 462/1141 [00:53<02:58,  3.81it/s]
 41%|████      | 465/1141 [00:54<02:44,  4.11it/s]
 41%|████"
r3_production_v1_20260528_030441,8,unimol2_84m,sider,LoRA,1,PASS,AUROC,0.6386237866,-0.0018693475,50,,8,0.0003,0.0,50,30,results/spec_a_r3_production/r3_production_v1_20260528_030441_unimol2_train_curves.csv,,3279.9,,
r3_production_v1_20260528_030441,9,unimol2_84m,sider,LoRA,2,INCOMPLETE,,,,,,8,0.0003,0.0,50,30,,,1324.9,PROCESS_FAIL,", 12.88it/s]
 91%|█████████ | 1036/1141 [06:24<00:07, 14.32it/s]
 91%|█████████ | 1039/1141 [06:24<00:06, 16.45it/s]
 91%|█████████▏| 1042/1141 [06:24<00:05, 17.74it/s]
 92%|█████████▏| 1045/1141 [06:24<00:04, 19.87it/s]
 92%|█████████▏| 1048/1141 [06:24<00:04, 19.14it/s]
 92%|█████████▏| 1051/1141 [06:25<00:04, 19.70it/s]
 93%|█████████▎| 1056/1141 [06:25<00:03, 25.36it/s]
 93%|█████████▎| 1060/1141 [06:25<00:02, 28.39it/s]
 93%|█████████▎| 1064/1141 [06:34<00:56,  1.37it/s]
 94%|█████████▎| 10"
r3_production_v1_20260528_030441,10,graphmvp_gin,bace,LoRA,0,PASS,auc,0.8287971905,0.0019315189,50,43,50,0.001,0.0,50,30,results/spec_a_r3_production/r3_production_v1_20260528_030441_graphmvp_train_curves.csv,results/spec_a_r3_production/checkpoints/r3_production_v1_20260528_030441_cell_010_graphmvp_gin_bace_LoRA_seed0.pt,60.2,,
