backbone,dataset,protocol,gap,se,z_gap,label_3class,n_lora,n_dora,mean_bad_diff_lora,mean_bad_diff_dora,se_bad_diff_lora,se_bad_diff_dora,cmpnn_freesolv_policy
cmpnn,freesolv,scaffold,-0.13049589999999994,0.07404003303365686,-1.762504616126786,Full-FT-favoring,5,5,-0.12882659999999996,-0.13216519999999993,0.10848120168287223,0.10079451794586844,use_n5_mean_no_throwout
cmpnn,esol,scaffold,-0.03731658333333328,0.016739078557417332,-2.2293092899547777,Full-FT-favoring,6,6,-0.038774833333333265,-0.035858333333333284,0.025211427126624757,0.022026596333624585,
cmpnn,lipo,scaffold,-0.04008474999999995,0.009608886296100539,-4.171633294928994,Full-FT-favoring,6,6,-0.040216666666666616,-0.03995283333333328,0.013274819126618787,0.01389611314580847,
cmpnn,bace,scaffold,-0.0015945833333333489,0.008265695197034406,-0.19291581595041865,parity,6,6,0.000810499999999985,-0.003999666666666683,0.010783566870474704,0.012530026093792104,
cmpnn,bbbp,scaffold,-0.007618583333333309,0.0050157949111060834,-1.5189184303497087,Full-FT-favoring,6,6,-0.007233666666666634,-0.008003499999999985,0.006949563519467313,0.007234387413596249,
cmpnn,sider,scaffold,-0.02002799999999995,0.006834127160801155,-2.930586383419312,Full-FT-favoring,6,6,-0.020150999999999964,-0.019904999999999933,0.012195681795892626,0.006171427852072278,
chemberta2,freesolv,scaffold,0.6883562822991698,0.07945306947234529,8.66368394412706,PEFT-favoring,6,6,0.6871232454381692,0.6895893191601704,0.11255671177961454,0.1121701726292248,
chemberta2,esol,scaffold,0.057378007504791224,0.029362075187745182,1.9541536876364591,PEFT-favoring,6,6,0.06388058155631805,0.050875433453264396,0.046900504144026356,0.03533933429423044,
chemberta2,lipo,scaffold,0.013696546109751517,0.008092067125150064,1.6925892850274054,PEFT-favoring,6,6,0.014678934036421065,0.012714158183081968,0.009451956111201903,0.013137226766089206,
chemberta2,bace,scaffold,-0.018117752125325848,0.002367722266570797,-7.65197522577934,Full-FT-favoring,6,6,-0.017806067375798484,-0.018429436874853215,0.003118217573144569,0.0035638678557142105,
chemberta2,bbbp,scaffold,0.0018921911803200168,0.0006975212198141675,2.7127363678256717,PEFT-favoring,6,6,0.0015134673497134335,0.0022709150109266,0.0011968119393796525,0.0007167876883167646,
chemberta2,sider,scaffold,-0.004901803523829177,0.008055130419169044,-0.6085318633903435,parity,6,6,-0.0028371967535101177,-0.006966410294148235,0.012034913550891514,0.010709872086157595,
molformer_c3,freesolv,scaffold,-0.08865517892355149,0.046703324343414995,-1.898262707632108,Full-FT-favoring,6,6,-0.07031808501747376,-0.1069922728296292,0.07423514567756549,0.056691667510627236,
molformer_c3,esol,scaffold,0.04802691150814903,0.016513617162689887,2.908321722309201,PEFT-favoring,6,6,0.05133841100348894,0.04471541201280912,0.017759757830777014,0.027845811336279985,
molformer_c3,lipo,scaffold,-0.05158210199078619,0.009718427506644827,-5.307659284953014,Full-FT-favoring,6,6,-0.05885704547201167,-0.044307158509560705,0.013301452780068598,0.014172603386366545,
molformer_c3,bace,scaffold,0.0029885225113626,0.013159354931928326,0.22710250820210015,parity,6,6,0.0025349714825533163,0.0034420735401718833,0.01929599391032378,0.01789801966449398,
molformer_c3,bbbp,scaffold,-0.00017847861906217512,0.0014985907009788494,-0.11909764216846966,parity,6,6,-0.00046996558226793344,0.00011300834414358322,0.002098043264520398,0.002140399686143153,
molformer_c3,sider,scaffold,-0.016737415222320393,0.004381177177451395,-3.820300924706458,Full-FT-favoring,6,6,-0.018297190274660136,-0.015177640169980652,0.005652198206105367,0.006695633598083392,
