index,backbone,method_comparison,protocol,n_pairs,expected_n_pairs,direction,mean_paired_bad_diff,sem,ci_percentile_lower_025,ci_percentile_upper_975,ci_bca_lower_025,ci_bca_upper_975,b_bootstrap_samples,bootstrap_seed,input_data_path,sanity_check_pass,sanity_check_delta,n_check_pass,bootstrap_unit
1,cmpnn,lora_vs_dora,scaffold,36,36,bad-space differences: regression dora_rmse - lora_rmse; classification lora_auc - dora_auc; negative = DoRA better,0.0018069722222222246,0.00466454802544941,-0.0071460013888888915,0.010377041666666661,,,10000,42,docs/stage3/scaffold_split_paired_bad_diff.json;docs/stage3/z1c_seed_extension_paired_bad_diff.json,True,4.4067077777778206e-05,True,dataset_seed_pair_stratified_by_dataset
2,cmpnn,lora_vs_dora,random,36,36,bad-space differences: regression dora_rmse - lora_rmse; classification lora_auc - dora_auc; negative = DoRA better,-0.0019426388888888974,0.0032780884516845975,-0.007960666666666689,0.0034509215277777707,,,10000,42,docs/stage3/z1_seed_extension_paired_bad_diff_extended.json,True,4.474269722222219e-05,True,dataset_seed_pair_stratified_by_dataset
3,cmpnn,fullft_vs_lora,scaffold,35,35,bad-space differences: regression fullft_rmse - peft_rmse; classification peft_auc - fullft_auc; negative = Full FT better,-0.03650077142857142,0.016575476618422624,-0.06466305571428571,-0.006417693571428581,,,10000,42,docs/stage3/n4_full_ft_vs_peft_paired_comparison.json,True,1.21675514285699e-05,True,dataset_seed_pair_stratified_by_dataset
4,cmpnn,fullft_vs_lora,random,36,36,bad-space differences: regression fullft_rmse - peft_rmse; classification peft_auc - fullft_auc; negative = Full FT better,-0.034041638888888906,0.009890829953070668,-0.04944559097222223,-0.020680001388888897,,,10000,42,docs/stage3/n4_full_ft_vs_peft_paired_comparison.json,True,2.325505277776807e-05,True,dataset_seed_pair_stratified_by_dataset
5,cmpnn,fullft_vs_dora,scaffold,35,35,bad-space differences: regression fullft_rmse - peft_rmse; classification peft_auc - fullft_auc; negative = Full FT better,-0.03734691428571427,0.0156009040212834,-0.06410729857142854,-0.010537010714285712,,,10000,42,docs/stage3/n4_full_ft_vs_peft_paired_comparison.json,True,9.074299999994873e-06,True,dataset_seed_pair_stratified_by_dataset
6,cmpnn,fullft_vs_dora,random,36,36,bad-space differences: regression fullft_rmse - peft_rmse; classification peft_auc - fullft_auc; negative = Full FT better,-0.032099,0.010409231126859512,-0.04823410833333333,-0.01716823402777779,,,10000,42,docs/stage3/n4_full_ft_vs_peft_paired_comparison.json,True,6.79977499999998e-05,True,dataset_seed_pair_stratified_by_dataset
7,chemberta2,lora_vs_dora,scaffold,36,36,bad-space differences: regression dora_rmse - lora_rmse; classification lora_auc - dora_auc; negative = DoRA better,0.0027498309354785457,0.0026024457230017077,-0.0013251346846235336,0.008063715849201524,,,10000,42,docs/stage3/scaffold_split_paired_bad_diff.json;docs/stage3/z1c_seed_extension_paired_bad_diff.json,True,6.086894755027647e-08,True,dataset_seed_pair_stratified_by_dataset
8,chemberta2,lora_vs_dora,random,36,36,bad-space differences: regression dora_rmse - lora_rmse; classification lora_auc - dora_auc; negative = DoRA better,-0.0012197101090078094,0.0013642080419634798,-0.0034424259168730174,0.0014027683971275982,,,10000,42,docs/stage3/z1_seed_extension_paired_bad_diff_extended.json,True,2.7980749923461152e-05,True,dataset_seed_pair_stratified_by_dataset
9,chemberta2,fullft_vs_lora,scaffold,36,36,bad-space differences: regression fullft_rmse - peft_rmse; classification peft_auc - fullft_auc; negative = Full FT better,0.1244254940418855,0.0467741154350468,0.08657824434194333,0.1587261733187385,,,10000,42,docs/stage3/n4_full_ft_vs_peft_paired_comparison.json,True,0.0002875669894693844,True,dataset_seed_pair_stratified_by_dataset
10,chemberta2,fullft_vs_lora,random,36,36,bad-space differences: regression fullft_rmse - peft_rmse; classification peft_auc - fullft_auc; negative = Full FT better,0.04289868260935999,0.02454853598418762,0.009952518384269304,0.07824863316485875,,,10000,42,docs/stage3/n4_full_ft_vs_peft_paired_comparison.json,True,0.00015216612515669276,True,dataset_seed_pair_stratified_by_dataset
