backbone,dataset,method,seed,protocol,task_type,metric_type,final_metric,status,epochs_completed,epochs_requested,batch_size,lr,weight_decay,trainable_params,elapsed_sec,peak_mib,checkpoint_path,checkpoint_exists,training_log
cmpnn,freesolv,fullft,0,random,regression,rmse,0.810636,PASS,50,50,50,0.001,0.0,1888801,,,dumped/baseline_freesolv_fullft_cmpnn_random_seed0/run_0/model_0/model.pt,True,logs/baseline_freesolv_fullft_cmpnn_random/seed0/training.log
cmpnn,freesolv,fullft,1,random,regression,rmse,0.810504,PASS,50,50,50,0.001,0.0,1888801,,,dumped/baseline_freesolv_fullft_cmpnn_random_seed1/run_0/model_0/model.pt,True,logs/baseline_freesolv_fullft_cmpnn_random/seed1/training.log
cmpnn,freesolv,fullft,2,random,regression,rmse,1.548707,PASS,50,50,50,0.001,0.0,1888801,,,dumped/baseline_freesolv_fullft_cmpnn_random_seed2/run_0/model_0/model.pt,True,logs/baseline_freesolv_fullft_cmpnn_random/seed2/training.log
cmpnn,freesolv,fullft,10,random,regression,rmse,1.362956,PASS,50,50,50,0.001,0.0,1888801,,,dumped/baseline_freesolv_fullft_cmpnn_random_seed10/run_0/model_0/model.pt,True,logs/baseline_freesolv_fullft_cmpnn_random/seed10/training.log
cmpnn,freesolv,fullft,100,random,regression,rmse,0.730876,PASS,50,50,50,0.001,0.0,1888801,,,dumped/baseline_freesolv_fullft_cmpnn_random_seed100/run_0/model_0/model.pt,True,logs/baseline_freesolv_fullft_cmpnn_random/seed100/training.log
cmpnn,freesolv,fullft,1000,random,regression,rmse,0.85456,PASS,50,50,50,0.001,0.0,1888801,,,dumped/baseline_freesolv_fullft_cmpnn_random_seed1000/run_0/model_0/model.pt,True,logs/baseline_freesolv_fullft_cmpnn_random/seed1000/training.log
cmpnn,esol,fullft,0,random,regression,rmse,0.670813,PASS,47,50,50,0.001,0.0,1888801,,,dumped/baseline_esol_fullft_cmpnn_random_seed0/run_0/model_0/model.pt,True,logs/baseline_esol_fullft_cmpnn_random/seed0/training.log
cmpnn,esol,fullft,1,random,regression,rmse,0.584602,PASS,50,50,50,0.001,0.0,1888801,,,dumped/baseline_esol_fullft_cmpnn_random_seed1/run_0/model_0/model.pt,True,logs/baseline_esol_fullft_cmpnn_random/seed1/training.log
cmpnn,esol,fullft,2,random,regression,rmse,0.517642,PASS,50,50,50,0.001,0.0,1888801,,,dumped/baseline_esol_fullft_cmpnn_random_seed2/run_0/model_0/model.pt,True,logs/baseline_esol_fullft_cmpnn_random/seed2/training.log
cmpnn,esol,fullft,10,random,regression,rmse,0.520173,PASS,50,50,50,0.001,0.0,1888801,,,dumped/baseline_esol_fullft_cmpnn_random_seed10/run_0/model_0/model.pt,True,logs/baseline_esol_fullft_cmpnn_random/seed10/training.log
cmpnn,esol,fullft,100,random,regression,rmse,0.528745,PASS,50,50,50,0.001,0.0,1888801,,,dumped/baseline_esol_fullft_cmpnn_random_seed100/run_0/model_0/model.pt,True,logs/baseline_esol_fullft_cmpnn_random/seed100/training.log
cmpnn,esol,fullft,1000,random,regression,rmse,0.533265,PASS,50,50,50,0.001,0.0,1888801,,,dumped/baseline_esol_fullft_cmpnn_random_seed1000/run_0/model_0/model.pt,True,logs/baseline_esol_fullft_cmpnn_random/seed1000/training.log
cmpnn,lipo,fullft,0,random,regression,rmse,0.537311,PASS,50,50,50,0.001,0.0,1888801,,,dumped/baseline_lipo_fullft_cmpnn_random_seed0/run_0/model_0/model.pt,True,logs/baseline_lipo_fullft_cmpnn_random/seed0/training.log
cmpnn,lipo,fullft,1,random,regression,rmse,0.618765,PASS,50,50,50,0.001,0.0,1888801,,,dumped/baseline_lipo_fullft_cmpnn_random_seed1/run_0/model_0/model.pt,True,logs/baseline_lipo_fullft_cmpnn_random/seed1/training.log
cmpnn,lipo,fullft,2,random,regression,rmse,0.531596,PASS,48,50,50,0.001,0.0,1888801,,,dumped/baseline_lipo_fullft_cmpnn_random_seed2/run_0/model_0/model.pt,True,logs/baseline_lipo_fullft_cmpnn_random/seed2/training.log
cmpnn,lipo,fullft,10,random,regression,rmse,0.571793,PASS,50,50,50,0.001,0.0,1888801,,,dumped/baseline_lipo_fullft_cmpnn_random_seed10/run_0/model_0/model.pt,True,logs/baseline_lipo_fullft_cmpnn_random/seed10/training.log
cmpnn,lipo,fullft,100,random,regression,rmse,0.559427,PASS,50,50,50,0.001,0.0,1888801,,,dumped/baseline_lipo_fullft_cmpnn_random_seed100/run_0/model_0/model.pt,True,logs/baseline_lipo_fullft_cmpnn_random/seed100/training.log
cmpnn,lipo,fullft,1000,random,regression,rmse,0.650971,PASS,50,50,50,0.001,0.0,1888801,,,dumped/baseline_lipo_fullft_cmpnn_random_seed1000/run_0/model_0/model.pt,True,logs/baseline_lipo_fullft_cmpnn_random/seed1000/training.log
cmpnn,bace,fullft,0,random,classification,auc,0.938638,PASS,45,50,50,0.001,0.0,1888801,,,dumped/baseline_bace_fullft_cmpnn_random_seed0/run_0/model_0/model.pt,True,logs/baseline_bace_fullft_cmpnn_random/seed0/training.log
cmpnn,bace,fullft,1,random,classification,auc,0.823027,PASS,50,50,50,0.001,0.0,1888801,,,dumped/baseline_bace_fullft_cmpnn_random_seed1/run_0/model_0/model.pt,True,logs/baseline_bace_fullft_cmpnn_random/seed1/training.log
cmpnn,bace,fullft,2,random,classification,auc,0.865025,PASS,50,50,50,0.001,0.0,1888801,,,dumped/baseline_bace_fullft_cmpnn_random_seed2/run_0/model_0/model.pt,True,logs/baseline_bace_fullft_cmpnn_random/seed2/training.log
cmpnn,bace,fullft,10,random,classification,auc,0.907213,PASS,41,50,50,0.001,0.0,1888801,,,dumped/baseline_bace_fullft_cmpnn_random_seed10/run_0/model_0/model.pt,True,logs/baseline_bace_fullft_cmpnn_random/seed10/training.log
cmpnn,bace,fullft,100,random,classification,auc,0.845122,PASS,41,50,50,0.001,0.0,1888801,,,dumped/baseline_bace_fullft_cmpnn_random_seed100/run_0/model_0/model.pt,True,logs/baseline_bace_fullft_cmpnn_random/seed100/training.log
cmpnn,bace,fullft,1000,random,classification,auc,0.89553,PASS,50,50,50,0.001,0.0,1888801,,,dumped/baseline_bace_fullft_cmpnn_random_seed1000/run_0/model_0/model.pt,True,logs/baseline_bace_fullft_cmpnn_random/seed1000/training.log
