backbone,protocol,dataset,seed,method_pair,task_type,metric_type,fullft_metric,peft_metric,fullft_bad_minus_peft_bad,direction
cmpnn,random,freesolv,0,fullft_vs_lora,regression,rmse,0.810636,0.929987,-0.11935099999999998,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
cmpnn,random,freesolv,0,fullft_vs_dora,regression,rmse,0.810636,0.950326,-0.13968999999999998,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
cmpnn,random,freesolv,1,fullft_vs_lora,regression,rmse,0.810504,0.811125,-0.0006209999999999827,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
cmpnn,random,freesolv,1,fullft_vs_dora,regression,rmse,0.810504,0.818133,-0.007628999999999997,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
cmpnn,random,freesolv,2,fullft_vs_lora,regression,rmse,1.548707,1.721812,-0.17310499999999984,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
cmpnn,random,freesolv,2,fullft_vs_dora,regression,rmse,1.548707,1.724062,-0.17535499999999993,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
cmpnn,random,freesolv,10,fullft_vs_lora,regression,rmse,1.362956,1.400268,-0.03731200000000001,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
cmpnn,random,freesolv,10,fullft_vs_dora,regression,rmse,1.362956,1.324729,0.03822700000000001,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
cmpnn,random,freesolv,100,fullft_vs_lora,regression,rmse,0.730876,1.032365,-0.301489,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
cmpnn,random,freesolv,100,fullft_vs_dora,regression,rmse,0.730876,1.01386,-0.282984,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
cmpnn,random,freesolv,1000,fullft_vs_lora,regression,rmse,0.85456,0.906204,-0.05164400000000002,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
cmpnn,random,freesolv,1000,fullft_vs_dora,regression,rmse,0.85456,0.931601,-0.07704100000000003,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
cmpnn,random,esol,0,fullft_vs_lora,regression,rmse,0.670813,0.67049,0.0003229999999999622,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
cmpnn,random,esol,0,fullft_vs_dora,regression,rmse,0.670813,0.67649,-0.005677000000000043,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
cmpnn,random,esol,1,fullft_vs_lora,regression,rmse,0.584602,0.611754,-0.027152000000000065,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
cmpnn,random,esol,1,fullft_vs_dora,regression,rmse,0.584602,0.613644,-0.029042000000000012,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
cmpnn,random,esol,2,fullft_vs_lora,regression,rmse,0.517642,0.570915,-0.053272999999999904,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
cmpnn,random,esol,2,fullft_vs_dora,regression,rmse,0.517642,0.571751,-0.05410899999999996,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
cmpnn,random,esol,10,fullft_vs_lora,regression,rmse,0.520173,0.555756,-0.03558300000000003,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
cmpnn,random,esol,10,fullft_vs_dora,regression,rmse,0.520173,0.563684,-0.043510999999999966,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
cmpnn,random,esol,100,fullft_vs_lora,regression,rmse,0.528745,0.600644,-0.07189899999999994,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
cmpnn,random,esol,100,fullft_vs_dora,regression,rmse,0.528745,0.648422,-0.11967700000000003,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
cmpnn,random,esol,1000,fullft_vs_lora,regression,rmse,0.533265,0.560811,-0.02754599999999996,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
cmpnn,random,esol,1000,fullft_vs_dora,regression,rmse,0.533265,0.586412,-0.053147000000000055,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
cmpnn,random,lipo,0,fullft_vs_lora,regression,rmse,0.537311,0.566544,-0.029233000000000064,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
cmpnn,random,lipo,0,fullft_vs_dora,regression,rmse,0.537311,0.571157,-0.03384600000000004,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
cmpnn,random,lipo,1,fullft_vs_lora,regression,rmse,0.618765,0.665256,-0.04649099999999995,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
cmpnn,random,lipo,1,fullft_vs_dora,regression,rmse,0.618765,0.670496,-0.05173099999999997,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
cmpnn,random,lipo,2,fullft_vs_lora,regression,rmse,0.531596,0.585901,-0.05430500000000005,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
cmpnn,random,lipo,2,fullft_vs_dora,regression,rmse,0.531596,0.57863,-0.04703400000000002,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
cmpnn,random,lipo,10,fullft_vs_lora,regression,rmse,0.571793,0.609627,-0.037834000000000034,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
cmpnn,random,lipo,10,fullft_vs_dora,regression,rmse,0.571793,0.607475,-0.03568199999999999,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
cmpnn,random,lipo,100,fullft_vs_lora,regression,rmse,0.559427,0.559952,-0.0005249999999999977,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
cmpnn,random,lipo,100,fullft_vs_dora,regression,rmse,0.559427,0.558719,0.0007080000000000419,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
cmpnn,random,lipo,1000,fullft_vs_lora,regression,rmse,0.650971,0.683101,-0.03212999999999999,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
cmpnn,random,lipo,1000,fullft_vs_dora,regression,rmse,0.650971,0.690526,-0.03955500000000001,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
