backbone,dataset,method,rank,seed,protocol,metric_type,task_type,n5_metric,r8_baseline_metric,paired_bad_diff_vs_r8,direction,n5_checkpoint,r8_checkpoint
cmpnn,freesolv,lora,4,0,scaffold,rmse,regression,2.180635,2.16195,0.018685000000000063,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_freesolv_lora_r4_cmpnn_scaffold_seed0/run_0/model_0/model.pt,dumped/baseline_freesolv_lora_scaffold_seed0/run_0/model_0/model.pt
cmpnn,freesolv,lora,4,1,scaffold,rmse,regression,2.730387,2.673929,0.05645800000000012,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_freesolv_lora_r4_cmpnn_scaffold_seed1/run_0/model_0/model.pt,dumped/baseline_freesolv_lora_scaffold_seed1/run_0/model_0/model.pt
cmpnn,freesolv,lora,4,2,scaffold,rmse,regression,1.596898,1.490457,0.10644100000000001,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_freesolv_lora_r4_cmpnn_scaffold_seed2/run_0/model_0/model.pt,dumped/baseline_freesolv_lora_scaffold_seed2/run_0/model_0/model.pt
cmpnn,freesolv,lora,16,0,scaffold,rmse,regression,2.200009,2.16195,0.038059000000000065,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_freesolv_lora_r16_cmpnn_scaffold_seed0/run_0/model_0/model.pt,dumped/baseline_freesolv_lora_scaffold_seed0/run_0/model_0/model.pt
cmpnn,freesolv,lora,16,1,scaffold,rmse,regression,2.633426,2.673929,-0.040502999999999734,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_freesolv_lora_r16_cmpnn_scaffold_seed1/run_0/model_0/model.pt,dumped/baseline_freesolv_lora_scaffold_seed1/run_0/model_0/model.pt
cmpnn,freesolv,lora,16,2,scaffold,rmse,regression,1.46623,1.490457,-0.024227,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_freesolv_lora_r16_cmpnn_scaffold_seed2/run_0/model_0/model.pt,dumped/baseline_freesolv_lora_scaffold_seed2/run_0/model_0/model.pt
cmpnn,freesolv,dora,4,0,scaffold,rmse,regression,2.189006,2.096095,0.09291099999999997,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_freesolv_dora_r4_cmpnn_scaffold_seed0/run_0/model_0/model.pt,dumped/baseline_freesolv_dora_scaffold_seed0/run_0/model_0/model.pt
cmpnn,freesolv,dora,4,1,scaffold,rmse,regression,2.701195,2.709365,-0.008170000000000233,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_freesolv_dora_r4_cmpnn_scaffold_seed1/run_0/model_0/model.pt,dumped/baseline_freesolv_dora_scaffold_seed1/run_0/model_0/model.pt
cmpnn,freesolv,dora,4,2,scaffold,rmse,regression,1.541204,1.570725,-0.02952099999999991,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_freesolv_dora_r4_cmpnn_scaffold_seed2/run_0/model_0/model.pt,dumped/baseline_freesolv_dora_scaffold_seed2/run_0/model_0/model.pt
cmpnn,freesolv,dora,16,0,scaffold,rmse,regression,2.263199,2.096095,0.16710400000000014,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_freesolv_dora_r16_cmpnn_scaffold_seed0/run_0/model_0/model.pt,dumped/baseline_freesolv_dora_scaffold_seed0/run_0/model_0/model.pt
cmpnn,freesolv,dora,16,1,scaffold,rmse,regression,2.678688,2.709365,-0.030676999999999843,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_freesolv_dora_r16_cmpnn_scaffold_seed1/run_0/model_0/model.pt,dumped/baseline_freesolv_dora_scaffold_seed1/run_0/model_0/model.pt
cmpnn,freesolv,dora,16,2,scaffold,rmse,regression,1.472333,1.570725,-0.09839200000000003,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_freesolv_dora_r16_cmpnn_scaffold_seed2/run_0/model_0/model.pt,dumped/baseline_freesolv_dora_scaffold_seed2/run_0/model_0/model.pt
cmpnn,esol,lora,4,0,scaffold,rmse,regression,0.735306,0.741628,-0.006321999999999939,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_esol_lora_r4_cmpnn_scaffold_seed0/run_0/model_0/model.pt,dumped/baseline_esol_lora_scaffold_seed0/run_0/model_0/model.pt
cmpnn,esol,lora,4,1,scaffold,rmse,regression,0.773323,0.759042,0.014280999999999988,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_esol_lora_r4_cmpnn_scaffold_seed1/run_0/model_0/model.pt,dumped/baseline_esol_lora_scaffold_seed1/run_0/model_0/model.pt
cmpnn,esol,lora,4,2,scaffold,rmse,regression,1.006475,1.002986,0.0034890000000000754,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_esol_lora_r4_cmpnn_scaffold_seed2/run_0/model_0/model.pt,dumped/baseline_esol_lora_scaffold_seed2/run_0/model_0/model.pt
cmpnn,esol,lora,16,0,scaffold,rmse,regression,0.747472,0.741628,0.005844000000000071,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_esol_lora_r16_cmpnn_scaffold_seed0/run_0/model_0/model.pt,dumped/baseline_esol_lora_scaffold_seed0/run_0/model_0/model.pt
cmpnn,esol,lora,16,1,scaffold,rmse,regression,0.782801,0.759042,0.023758999999999975,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_esol_lora_r16_cmpnn_scaffold_seed1/run_0/model_0/model.pt,dumped/baseline_esol_lora_scaffold_seed1/run_0/model_0/model.pt
cmpnn,esol,lora,16,2,scaffold,rmse,regression,0.982872,1.002986,-0.020113999999999965,positive = rank variant worse than r=8 baseline in bad-space,dumped/n5_rank_sensitivity_esol_lora_r16_cmpnn_scaffold_seed2/run_0/model_0/model.pt,dumped/baseline_esol_lora_scaffold_seed2/run_0/model_0/model.pt
