backbone,dataset,seed,task_type,metric_type,lora_metric,dora_metric,paired_bad_diff,direction
cmpnn,freesolv,0,regression,rmse,2.16195,2.096095,-0.065855,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
cmpnn,freesolv,1,regression,rmse,2.673929,2.709365,0.035436000000000245,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
cmpnn,freesolv,2,regression,rmse,1.490457,1.570725,0.080268,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
cmpnn,esol,0,regression,rmse,0.741628,0.75785,0.01622200000000007,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
cmpnn,esol,1,regression,rmse,0.759042,0.770888,0.011846000000000023,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
cmpnn,esol,2,regression,rmse,1.002986,0.990898,-0.012087999999999988,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
cmpnn,lipo,0,regression,rmse,0.654229,0.627623,-0.026605999999999908,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
cmpnn,lipo,1,regression,rmse,0.641112,0.613169,-0.02794300000000005,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
cmpnn,lipo,2,regression,rmse,0.653554,0.665076,0.011522000000000032,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
cmpnn,bace,0,classification,auc,0.852502,0.853556,-0.0010539999999999994,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
cmpnn,bace,1,classification,auc,0.913937,0.903136,0.01080099999999995,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
cmpnn,bace,2,classification,auc,0.831373,0.847059,-0.015685999999999978,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
cmpnn,bbbp,0,classification,auc,0.958709,0.956385,0.0023239999999999927,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
cmpnn,bbbp,1,classification,auc,0.913697,0.916727,-0.003029999999999977,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
cmpnn,bbbp,2,classification,auc,0.943174,0.93989,0.0032839999999999536,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
cmpnn,sider,0,classification,auc,0.562181,0.608458,-0.04627700000000001,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
cmpnn,sider,1,classification,auc,0.619716,0.613473,0.0062429999999999986,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
cmpnn,sider,2,classification,auc,0.594403,0.587158,0.007245000000000057,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
chemberta2,freesolv,0,regression,rmse,2.1771432116972695,2.179350030404293,0.002206818707023661,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
chemberta2,freesolv,1,regression,rmse,2.5534737879847706,2.546954007473736,-0.006519780511034856,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
chemberta2,freesolv,2,regression,rmse,2.257611117242196,2.2555224146337007,-0.002088702608495474,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
chemberta2,esol,0,regression,rmse,0.7722132076984445,0.7737233568081575,0.0015101491097130326,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
chemberta2,esol,1,regression,rmse,0.9119242576279227,0.9920034162708646,0.0800791586429419,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
chemberta2,esol,2,regression,rmse,1.06847809126746,1.0677147965894633,-0.0007632946779967398,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
chemberta2,lipo,0,regression,rmse,0.7156973573177254,0.7091729199783385,-0.0065244373393869015,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
chemberta2,lipo,1,regression,rmse,0.7192317757762267,0.7117309753506946,-0.007500800425532028,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
chemberta2,lipo,2,regression,rmse,0.7994629592163899,0.7943009709544985,-0.005161988261891404,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
chemberta2,bace,0,classification,auc,0.8237050043898156,0.8254609306409131,-0.0017559262510974394,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
chemberta2,bace,1,classification,auc,0.8631533101045297,0.8633275261324042,-0.0001742160278744853,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
chemberta2,bace,2,classification,auc,0.7626470588235295,0.7640196078431373,-0.001372549019607816,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
chemberta2,bbbp,0,classification,auc,0.9604867377631938,0.9606234618539786,-0.00013672409078480108,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
chemberta2,bbbp,1,classification,auc,0.9585454545454546,0.9586666666666667,-0.00012121212121207758,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
chemberta2,bbbp,2,classification,auc,0.9812338728594886,0.981468449448745,-0.00023457658925640779,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
chemberta2,sider,0,classification,auc,0.4950535062294517,0.4953334821618785,-0.0002799759324267903,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
chemberta2,sider,1,classification,auc,0.6018222815705173,0.5746667869650818,0.027155494605435537,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
