backbone,dataset,seed,seed_group,task_type,metric_type,lora_metric,dora_metric,paired_bad_diff,direction
cmpnn,freesolv,0,existing_0_1_2,regression,rmse,0.929987,0.950326,0.020338999999999996,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
cmpnn,freesolv,1,existing_0_1_2,regression,rmse,0.811125,0.818133,0.007008000000000014,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
cmpnn,freesolv,2,existing_0_1_2,regression,rmse,1.721812,1.724062,0.0022500000000000853,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
cmpnn,freesolv,10,new_10_100_1000,regression,rmse,1.400268,1.324729,-0.07553900000000002,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
cmpnn,freesolv,100,new_10_100_1000,regression,rmse,1.032365,1.01386,-0.018504999999999994,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
cmpnn,freesolv,1000,new_10_100_1000,regression,rmse,0.906204,0.931601,0.025397000000000003,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
cmpnn,esol,0,existing_0_1_2,regression,rmse,0.67049,0.67649,0.006000000000000005,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
cmpnn,esol,1,existing_0_1_2,regression,rmse,0.611754,0.613644,0.0018899999999999473,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
cmpnn,esol,2,existing_0_1_2,regression,rmse,0.570915,0.571751,0.0008360000000000589,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
cmpnn,esol,10,new_10_100_1000,regression,rmse,0.555756,0.563684,0.007927999999999935,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
cmpnn,esol,100,new_10_100_1000,regression,rmse,0.600644,0.648422,0.0477780000000001,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
cmpnn,esol,1000,new_10_100_1000,regression,rmse,0.560811,0.586412,0.025601000000000096,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
