backbone,dataset,seed,task_type,metric_type,lora_metric,dora_metric,paired_bad_diff,direction
cmpnn,freesolv,10,regression,rmse,2.240996,2.297802,0.05680599999999991,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
cmpnn,freesolv,100,regression,rmse,1.559744,1.568935,0.00919099999999995,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
cmpnn,freesolv,1000,regression,rmse,1.475756,1.412039,-0.06371700000000002,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
cmpnn,esol,10,regression,rmse,0.9421,0.942457,0.0003569999999999407,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
cmpnn,esol,100,regression,rmse,0.925857,0.907342,-0.01851500000000006,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
cmpnn,esol,1000,regression,rmse,0.784169,0.768848,-0.015321000000000029,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
cmpnn,lipo,10,regression,rmse,0.635136,0.658292,0.023155999999999954,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
cmpnn,lipo,100,regression,rmse,0.64851,0.667503,0.018992999999999927,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
cmpnn,lipo,1000,regression,rmse,0.657976,0.657271,-0.0007049999999999557,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
cmpnn,bace,10,classification,auc,0.810769,0.779615,0.031154000000000015,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
cmpnn,bace,100,classification,auc,0.765278,0.761285,0.003993000000000024,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
cmpnn,bace,1000,classification,auc,0.89501,0.895357,-0.0003469999999999862,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
cmpnn,bbbp,10,classification,auc,0.953837,0.952529,0.0013080000000000869,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
cmpnn,bbbp,100,classification,auc,0.950545,0.949212,0.0013330000000000286,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
cmpnn,bbbp,1000,classification,auc,0.949664,0.950264,-0.0006000000000000449,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
cmpnn,sider,10,classification,auc,0.633573,0.638287,-0.004713999999999996,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
cmpnn,sider,100,classification,auc,0.613621,0.585713,0.027907999999999933,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
cmpnn,sider,1000,classification,auc,0.646614,0.638495,0.008118999999999987,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
chemberta2,freesolv,10,regression,rmse,2.346452604395945,2.3498597935184,0.0034071891224547457,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
chemberta2,freesolv,100,regression,rmse,1.7684895057399215,1.762516762944581,-0.0059727427953404355,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
chemberta2,freesolv,1000,regression,rmse,1.9830951317895202,1.9772659075429055,-0.005829224246614695,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
chemberta2,esol,10,regression,rmse,1.0248529677653349,1.024764852765621,-8.811499971383974e-05,regression: dora_rmse - lora_rmse; classification: lora_auc - dora_auc; negative = DoRA better
