target_set,feature_col,random_spearman_rho,random_n_cells,random_hit_rate_3class,trained_spearman_rho,trained_n_cells,trained_hit_rate_3class,rho_delta_trained_minus_random
expanded,alignment_A4_mean,-0.41382868937048506,18,0.5555555555555556,-0.47368421052631576,18,0.5555555555555556,-0.059855521155830704
historical,alignment_A8_mean,-0.6243550051599587,18,0.5,-0.45717234262125905,18,0.5,0.16718266253869962
historical,alignment_A4_mean,-0.2982456140350877,18,0.5,-0.43653250773993807,18,0.4444444444444444,-0.13828689370485037
expanded,alignment_A8_mean,-0.4633642930856553,18,0.5,-0.39525283797729616,18,0.5555555555555556,0.06811145510835914
historical,alignment_A16_mean,-0.500515995872033,18,0.5555555555555556,-0.37048503611971106,18,0.4444444444444444,0.13003095975232193
historical,grad_top4_energy_mean,-0.17440660474716202,18,0.6666666666666666,-0.3498452012383901,18,0.5,-0.17543859649122806
expanded,grad_top8_energy_mean,-0.20949432404540763,18,0.6666666666666666,-0.32920536635706915,18,0.5,-0.11971104231166152
historical,grad_top8_energy_mean,-0.21568627450980393,18,0.6666666666666666,-0.3023735810113519,18,0.5555555555555556,-0.08668730650154799
expanded,alignment_A16_mean,-0.38080495356037153,18,0.5555555555555556,-0.2899896800825593,18,0.3888888888888889,0.09081527347781221
expanded,grad_top4_energy_mean,-0.24458204334365324,18,0.6666666666666666,-0.2714138286893705,18,0.5,-0.02683178534571723
expanded,grad_top16_energy_mean,-0.21362229102167182,18,0.6666666666666666,-0.2301341589267286,18,0.4444444444444444,-0.016511867905056765
historical,grad_top16_energy_mean,-0.22394220846233232,18,0.6666666666666666,-0.22394220846233232,18,0.5555555555555556,0.0
expanded,grad_spectral_entropy_norm_mean,0.3415892672858617,18,0.6111111111111112,0.21155830753353974,18,0.6666666666666666,-0.13003095975232196
historical,grad_erank_norm_mean,0.32301341589267285,18,0.6111111111111112,0.20536635706914344,18,0.5555555555555556,-0.11764705882352941
expanded,grad_erank_norm_mean,0.33126934984520123,18,0.6111111111111112,0.19504643962848298,18,0.6111111111111112,-0.13622291021671826
historical,grad_spectral_entropy_norm_mean,0.30856553147574817,18,0.6111111111111112,0.1785345717234262,18,0.6111111111111112,-0.13003095975232196
